Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
582	29.8		41.43	2.06
584	29.8		41.44	1.97
586	29.9		41.44	2.03
588	29.8		41.44	2.12
590	29.8		41.44	2.12
592	29.9		41.44	2.06
594	29.9		41.44	2.1
596	29.9		41.44	2.12
598	29.9		41.44	2.1
600	29.9		41.74	2.05
602	30		41.91	2.07
604	30		41.93	2.09
606	30		41.93	1.72
608	30.1		41.94	1.16
610	30.1		41.95	1.13
612	30		41.94	2.06
614	30.1		41.94	2.09
616	30.1		41.94	1.52
618	30.1		41.94	1.66
620	30		41.94	1.69
622	29.9		41.93	1.89
624	30		41.94	1.58
626	30		41.94	1.79
628	29.9		41.95	1.57
630	29.9		41.94	1.54
632	29.9		41.93	1.92
634	29.8		41.94	2.03
636	29.8		41.94	2.06
638	29.8		41.94	2.06
640	29.9		41.94	2.1
642	29.9		41.94	2.04
644	29.9		41.94	2.06
646	29.8		41.94	2.09
648	29.9		41.94	2.09
650	29.9		41.94	2.12
652	30		41.95	1.19
654	29.9		42.22	2.1
656	30.1		42.42	1.26
658	30		42.44	2.07
660	30.1		42.44	1.58
662	30.1		42.44	1.57
664	30		42.44	1.64
666	30.1		42.45	1.79
668	30.1		42.44	1.54
670	30.1		42.44	1.62
672	30.1		42.43	1.19
674	30.1		42.43	1.16
676	30		42.44	2.09
678	30		42.43	1.18
680	29.9		42.45	1.94
682	29.9		42.43	1.16
684	29.9		42.45	2.07
686	29.8		42.45	2.12
688	29.8		42.45	2.09
690	29.8		42.45	2.08
692	29.8		42.45	2.09
694	29.8		42.45	2.11
696	29.8		42.45	2.1
698	29.8		42.45	2.09
700	29.9		42.65	2.13
702	29.9		42.92	2.07
704	29.9		42.93	2.12
706	29.9		42.94	2.1
708	30		42.94	2.1
710	30		42.94	2.12
712	30.1		42.95	1.23
714	30.1		42.95	1.24
716	30.1		42.95	2.14
718	30		42.94	2.14
720	30.1		42.95	1.66
722	30.1		42.94	1.98
724	30.1		42.95	1.63
726	30		42.94	2.02
728	30.1		42.95	1.59
730	30		42.94	1.94
732	30		42.95	1.58
734	30		42.95	1.58
736	29.9		42.94	2.05
738	29.9		42.94	2.1
740	29.9		42.94	2.06
742	29.9		42.94	2.15
744	29.9		42.94	2.13
746	29.9		42.94	2.11
748	29.9		42.94	2.16
750	29.9		43.18	2.2
752	29.9		43.42	2.13
754	30		43.44	2.11
756	30		43.44	2.11
758	30		43.44	2.14
760	30		43.45	2.14
762	30.1		43.44	1.25
764	30.1		43.45	2.1
766	30.1		43.45	1.96
768	30.1		43.45	1.69
770	30.1		43.45	1.7
772	30.1		43.45	1.82
774	30.1		43.45	1.84
776	30.1		43.44	1.2
778	30.1		43.45	2.08
780	29.9		43.45	1.69
782	29.9		43.44	1.17
784	29.9		43.45	1.97
786	29.9		43.45	2.09
788	29.8		43.45	2.07
790	29.8		43.45	2.12
792	29.8		43.45	2.11
794	29.8		43.45	2.1
796	29.8		43.45	2.1
798	29.8		43.45	2.09
800	29.8		43.52	2.11
802	29.8		43.96	2.07
804	29.9		43.94	2.07
806	29.9		43.95	2.09
808	29.9		43.95	2.15
810	29.9		43.95	2.15
812	30		43.95	2.13
814	30		43.95	2.12
816	30.1		43.96	1.23
818	30.1		43.96	1.21
820	30.1		43.95	2.13
822	30.1		43.95	2.09
824	30.2		43.95	1.64
826	30.1		43.95	1.78
828	30.1		43.96	1.58
830	30.1		43.96	1.58
832	30.1		43.96	1.63
834	30.1		43.96	1.17
836	30		43.95	2.04
838	29.9		43.95	1.78
840	29.9		43.96	1.51
842	29.9		43.95	1.95
844	29.9		43.95	2.06
846	29.8		43.95	2.03
848	29.8		43.95	2.06
850	29.9		44.18	2.14
852	29.9		44.44	2.07
854	29.9		44.44	2.11
856	29.9		44.45	2.1
858	29.9		44.46	2.13
860	29.9		44.46	2.13
862	30		44.46	2.2
864	30		44.46	2.11
866	30		44.45	2.15
868	29.9		44.45	2.11
870	30.1		44.45	1.81
872	30.1		44.46	1.55
874	30.1		44.46	1.59
876	30.1		44.45	1.99
878	30.2		44.45	1.15
880	30.1		44.45	2.11
882	30.1		44.46	2.01
884	30.1		44.46	1.62
886	30		44.45	1.77
888	30		44.45	1.11
890	30		44.46	1.96
892	30		44.46	1.69
894	29.9		44.46	1.53
896	29.9		44.45	2.05
898	29.9		44.46	1.99
900	29.9		44.54	2.11
902	29.8		44.95	2.1
904	29.8		44.96	2.1
906	29.9		44.96	2.11
908	29.9		44.97	2.1
910	29.9		44.97	2.12
912	29.9		44.97	2.13
914	29.9		44.97	2.14
916	30		44.96	2.17
918	30		44.96	2.12
920	30.1		44.96	2.13
922	30		44.96	2.12
924	30.1		44.97	1.68
926	30.1		44.97	1.66
928	30.2		44.96	1.69
930	30.1		44.96	1.95
932	30.2		44.96	1.92
934	30.2		44.97	1.19
936	30.1		44.96	2.15
938	30.1		44.96	2.1
940	30.1		44.96	1.66
942	30		44.96	2
944	30		44.96	1.74
946	30		44.97	1.64
948	29.9		44.96	2.08
950	29.9		44.97	2.01
952	29.9		45.39	2.11
954	29.8		45.46	2.11
956	29.9		45.46	2.15
958	29.9		45.47	2.14
960	29.9		45.47	2.17
962	29.9		45.47	2.14
964	29.9		45.47	2.19
966	29.9		45.47	2.14
968	29.9		45.47	2.18
970	30		45.46	2.2
972	30		45.47	2.13
974	30.1		45.45	1.24
976	30.1		45.47	2.16
978	30.1		45.47	1.69
980	30.3		45.46	1.72
982	30.2		45.45	1.21
984	30.1		45.48	1.98
986	30.2		45.46	1.7
988	30		45.46	2.02
990	30.1		45.47	1.74
992	30.1		45.47	1.62
994	30		45.47	1.68
996	30.1		45.45	1.15
998	30		45.46	2
1000	30		45.57	1.22
1002	30		45.96	2.16
1004	29.9		45.96	2.18
1006	29.9		45.97	2.17
1008	29.9		45.97	2.11
1010	29.9		45.97	2.19
1012	29.8		45.97	2.14
1014	29.9		45.97	2.15
1016	29.9		45.97	2.13
1018	30		45.97	2.16
1020	29.9		45.97	2.07
1022	29.9		45.98	1.23
1024	30		45.97	2.11
1026	30.1		45.97	2.14
1028	30		45.97	2.07
1030	30		45.97	1.77
1032	30.1		45.97	1.64
1034	30.1		45.97	1.99
1036	30.1		45.97	1.71
1038	30.2		45.97	1.66
1040	30		45.97	1.79
1042	30		45.97	1.61
1044	30.1		45.97	1.59
1046	30.1		45.98	1.16
1048	30		45.97	2.07
1050	29.9		45.96	1.96
1052	30		45.97	1.62
1054	29.9		46.38	1.98
1056	29.9		46.46	1.18
1058	29.9		46.47	2.06
1060	29.9		46.47	2.14
1062	29.9		46.47	2.12
1064	29.8		46.48	2.12
1066	29.9		46.48	2.2
1068	29.9		46.48	2.14
1070	29.9		46.48	2.18
1072	29.9		46.48	2.12
1074	29.9		46.48	2.15
1076	29.9		46.47	2.16
1078	30		46.47	2.1
1080	30		46.48	2.03
1082	30.1		46.46	1.2
1084	30		46.47	2.1
1086	30.1		46.48	1.72
1088	30.1		46.47	1.66
1090	30.2		46.47	1.76
1092	30.1		46.47	1.82
1094	30.1		46.48	1.86
1096	30.1		46.48	1.61
1098	30.1		46.47	1.76
1100	30		46.47	1.9
1102	30.1		46.63	1.23
1104	30		46.96	2.02
1106	30		46.97	1.72
1108	30		46.98	1.61
1110	29.9		46.97	2.02
1112	29.9		46.98	2.09
1114	29.9		46.98	2.04
1116	29.9		46.98	2.1
1118	29.9		46.98	2.1
1120	29.8		46.98	2.09
1122	29.9		46.98	2.15
1124	29.9		46.98	2.12
1126	29.9		46.98	2.19
1128	30		46.98	2.13
1130	30		46.98	2.15
1132	30		46.98	2.1
1134	30		46.98	2.07
1136	30.1		46.99	1.2
1138	30.2		46.98	2.05
1140	30.1		46.98	1.68
1142	30		46.97	1.97
1144	30.1		46.98	1.65
1146	30.1		46.98	2.04
1148	30.1		46.98	1.69
1150	30.1		47.09	1.69
1152	30.1		47.47	1.88
1154	30.1		47.47	1.73
1156	30.1		47.47	1.23
1158	30		47.48	2.04
1160	30		47.48	1.74
1162	30		47.48	1.66
1164	30		47.48	2.02
1166	30		47.48	2.01
1168	29.9		47.48	2.02
1170	29.9		47.48	2.07
1172	29.9		47.48	2.07
1174	29.9		47.48	2.14
1176	29.9		47.48	2.18
1178	29.9		47.48	2.17
1180	29.9		47.48	2.21
1182	30		47.48	2.16
1184	29.9		47.48	2.14
1186	30		47.47	1.31
1188	30		47.48	2.15
1190	30.1		47.48	1.83
1192	30.1		47.48	1.67
1194	30		47.48	1.79
1196	30.1		47.48	1.92
1198	30.1		47.48	1.65
1200	30.1		47.47	1.25
1202	30.1		47.48	2.11
1204	30.1		47.48	2.06
1206	30		47.48	1.64
1208	30.1		47.53	1.29
1210	30		47.98	2.17
1212	30		47.97	1.81
1214	30		47.98	1.64
1216	29.9		47.98	2.04
1218	29.9		47.98	2.15
1220	29.9		47.98	2.13
1222	29.9		47.98	2.18
1224	29.9		47.98	2.2
1226	29.9		47.98	2.18
1228	29.9		47.98	2.17
1230	29.9		47.98	2.2
1232	29.9		47.98	2.22
1234	29.9		47.98	2.19
1236	30		47.98	2.22
1238	30		47.98	2.16
1240	30.1		47.98	1.36
1242	30.1		47.99	1.26
1244	30.1		47.98	2.18
1246	30.1		47.97	2.19
1248	30.1		47.98	1.77
1250	30.2		47.98	1.27
1252	30.1		47.99	1.23
1254	30		48.09	2.22
1256	30.1		48.48	1.31
1258	30		48.47	2.08
1260	30		48.47	1.84
1262	30		48.47	1.71
1264	29.9		48.47	2.13
1266	29.9		48.47	2.18
1268	29.9		48.47	2.13
1270	29.8		48.47	2.2
1272	29.9		48.48	2.21
1274	29.8		48.47	2.19
1276	29.9		48.47	2.24
1278	29.8		48.47	2.17
1280	29.9		48.47	2.22
1282	29.9		48.47	2.14
1284	29.9		48.47	2.18
1286	30		48.47	2.21
1288	30		48.47	2.19
1290	30.1		48.47	1.34
1292	30.1		48.47	2.16
1294	30		48.47	1.9
1296	30.1		48.47	1.34
1298	30.2		48.47	2.1
1300	30.1		48.71	1.81
1302	30		48.97	2.07
1304	30.1		48.97	1.71
1306	30.1		48.98	2.12
1308	30		48.98	1.82
1310	30.1		48.97	1.77
1312	30		48.98	2.07
1314	30		48.97	1.93
1316	30		48.97	1.71
1318	30		48.98	2.11
1320	30		48.98	2.13
1322	29.9		48.97	2.11
1324	29.9		48.98	2.17
1326	29.9		48.98	2.12
1328	29.9		48.98	2.29
1330	30		48.98	2.28
1332	30		48.98	2.24
1334	30		48.98	2.24
1336	30.1		48.98	2.21
1338	30		48.97	1.45
1340	30.1		48.97	1.39
1342	30.1		48.98	2.21
1344	30.1		48.97	1.4
1346	30.1		48.97	1.31
1348	30.1		48.97	1.3
1350	30		49.22	2.24
1352	30		49.47	1.81
1354	30		49.48	1.94
1356	30		49.48	2.16
1358	30		49.48	2.15
1360	29.9		49.48	2.23
1362	29.9		49.48	2.18
1364	29.9		49.48	2.25
1366	29.9		49.49	2.26
1368	29.9		49.48	2.25
1370	29.9		49.48	2.29
1372	30		49.48	2.2
1374	30		49.48	2.25
1376	30		49.48	2.24
1378	30		49.48	2.22
1380	30		49.48	2.27
1382	30.1		49.48	2.23
1384	30.1		49.48	1.45
1386	30.1		49.48	2.24
1388	30		49.49	2.05
1390	30.1		49.49	1.76
1392	30.1		49.48	2.15
1394	30.1		49.48	1.94
1396	30.1		49.48	2.04
1398	30.1		49.48	1.4
1400	30.1		49.72	2.18
1402	30		49.97	1.91
1404	30		49.97	2.1
1406	30		49.98	1.81
1408	29.9		49.98	2.17
1410	29.9		49.98	2.19
1412	29.9		49.98	2.19
1414	29.9		49.98	2.33
1416	29.8		49.98	2.28
1418	29.9		49.98	2.33
1420	29.9		49.98	2.29
1422	29.9		49.99	2.31
1424	29.9		49.98	2.33
1426	29.9		49.98	2.3
1428	29.9		49.98	2.28
1430	29.9		49.98	2.34
1432	30		49.98	2.32
1434	30		49.98	2.26
1436	30.1		49.97	1.45
1438	30.1		49.98	2.22
1440	30.1		49.98	1.88
1442	30.1		49.98	2.15
1444	30.1		49.98	1.81
1446	30.1		49.97	1.96
1448	30.1		49.98	1.89
1450	30.1		49.98	2
1452	30.1		50.37	1.84
1454	30.1		50.47	2.14
1456	30.1		50.47	1.96
1458	30.1		50.48	1.46
1460	30		50.48	2.19
1462	30		50.48	2.18
1464	29.9		50.48	2.1
1466	29.9		50.48	2.28
1468	29.9		50.49	2.22
1470	29.9		50.48	2.29
1472	29.8		50.48	2.2
1474	29.8		50.48	2.26
1476	29.9		50.49	2.28
1478	29.9		50.48	2.29
1480	29.8		50.48	2.35
1482	29.9		50.48	2.18
1484	29.9		50.48	2.27
1486	29.9		50.49	2.21
1488	30		50.48	2.33
1490	30		50.49	2.24
1492	30		50.48	2.28
1494	30.1		50.49	1.44
1496	30.1		50.49	1.44
1498	30.1		50.48	2.28
1500	30.2		50.7	2.31
1502	30.1		50.96	1.48
1504	30.1		50.99	2.32
1506	30.2		50.97	1.48
1508	30.2		50.99	2.22
1510	30		50.99	1.96
1512	30		50.99	2.11
1514	30		50.99	1.8
1516	29.9		50.99	2.22
1518	29.8		50.99	2.23
1520	29.9		50.99	2.27
1522	29.8		50.99	2.29
1524	29.8		50.99	2.3
1526	29.9		50.99	2.26
1528	29.8		50.99	2.3
1530	29.9		50.99	2.33
1532	29.8		50.99	2.32
1534	29.9		50.99	2.36
1536	29.9		50.99	2.32
1538	29.9		50.99	2.33
1540	30		50.99	2.28
1542	30		50.99	2.28
1544	30		50.99	2.3
1546	30		50.99	2.34
1548	30.1		50.98	1.52
1550	30.1		50.99	2.26
1552	30.1		50.98	1.48
1554	30		51.48	2.32
1556	30.1		51.48	1.48
1558	30.1		51.48	2.2
1560	30		51.48	1.9
1562	30		51.48	2.07
1564	30.1		51.49	1.76
1566	30.1		51.48	2.12
1568	30		51.49	1.95
1570	30.1		51.49	1.77
1572	30		51.48	2.11
1574	30		51.48	1.98
1576	30		51.49	1.82
1578	29.9		51.48	2.14
1580	29.9		51.48	2.17
1582	29.9		51.48	2.26
1584	29.9		51.49	2.23
1586	29.9		51.48	2.25
1588	30		51.49	2.27
1590	30		51.49	1.4
1592	30		51.48	2.24
1594	30		51.48	2.24
1596	30		51.49	2.25
1598	30		51.48	2.22
1600	30		51.59	2.27
1602	30		51.99	2.3
1604	30		51.99	2.33
1606	30.2		51.99	2.24
1608	30.1		51.99	2.23
1610	30.1		52	1.86
1612	30.1		51.99	1.83
1614	30.1		51.98	1.43
1616	30.1		51.99	2.29
1618	30		51.99	2.19
1620	30.1		51.99	1.83
1622	30.1		52	2.09
1624	30		51.99	1.89
1626	30		51.99	1.84
1628	30		51.99	2.13
1630	30		51.98	1.4
1632	29.9		52	2.25
1634	29.9		51.99	1.99
1636	29.9		51.99	1.76
1638	29.9		52	2.15
1640	29.9		52	2.24
1642	29.9		52	2.21
1644	29.9		52	2.3
1646	30		52	2.27
1648	29.9		52	2.25
1650	30		52.02	2.37
1652	30		52.5	2.7
1654	30.1		52.49	2.78
1656	30.1		52.49	2.69
1658	30		52.49	2.42
1660	30.1		52.5	2.31
1662	30.1		52.5	2.39
1664	30.1		52.5	1.82
1666	30.1		52.49	2.72
1668	30		52.49	2.42
1670	30		52.49	2.33
1672	30.1		52.5	2.25
1674	30.1		52.5	1.82
1676	30.1		52.49	2.71
1678	30.1		52.5	1.84
1680	30		52.49	2.75
1682	30		52.5	2.27
1684	29.9		52.5	2.55
1686	29.9		52.49	2.71
1688	29.9		52.5	2.7
1690	29.9		52.5	2.77
1692	29.8		52.5	2.78
1694	29.9		52.5	2.79
1696	29.9		52.5	2.82
1698	29.9		52.49	2.86
1700	29.9		52.73	4.62
1702	29.9		52.98	6.46
1704	29.9		52.99	6.6
1706	29.9		53	6.58
1708	30		52.99	6.69
1710	30		52.99	6.65
1712	30.1		52.99	6.71
1714	30		52.99	6.6
1716	30.1		53	6.23
1718	30.1		53	6.24
1720	30.1		52.99	5.88
1722	30.2		52.99	6.65
1724	30.1		52.99	6.54
1726	30.1		53	6.24
1728	30.1		53	6.2
1730	30.1		53	6.3
1732	30.1		52.99	5.88
1734	30		52.99	6.68
1736	30		52.99	6.3
1738	30		52.99	6.48
1740	30		53	6.64
1742	29.9		53	6.69
1744	29.9		53	6.69
1746	29.9		53	6.63
1748	29.9		53	6.64
1750	29.9		53	6.65
1752	29.9		53.37	11.56
1754	29.9		53.49	12.88
1756	29.9		53.49	13.1
1758	29.9		53.49	13.13
1760	30		53.49	13.23
1762	30		53.5	13.03
1764	30		53.49	12.48
1766	30		53.5	13.28
1768	30		53.5	13.19
1770	30.1		53.49	12.54
1772	30.1		53.49	13.22
1774	30.1		53.49	12.43
1776	30.2		53.49	13.11
1778	30.1		53.49	12.79
1780	30.1		53.5	12.78
1782	30.2		53.49	12.83
1784	30.1		53.49	12.54
1786	30		53.5	13.18
1788	30		53.5	12.84
1790	30		53.5	13.19
1792	30		53.49	12.61
1794	30		53.5	13.22
1796	30		53.5	13.18
1798	29.9		53.5	13.24
1800	29.8		53.49	13.11
1802	29.9		53.92	20.38
1804	29.9		53.99	21.6
1806	30		53.99	21.78
1808	30		54	21.72
1810	30		53.99	21.83
1812	30		53.99	21.84
1814	30.1		54	21.8
1816	30		54	21.65
1818	30		54	21.35
1820	30.1		54	21.42
1822	30		54	21.83
1824	30		53.99	21.19
1826	30.1		53.99	21.94
1828	30.1		53.99	21.89
1830	30.1		54	21.38
1832	30.1		53.99	21.13
1834	30		53.99	21.88
1836	30		53.99	21.15
1838	30		53.99	21.92
1840	30.1		53.99	21.97
1842	30		54	21.86
1844	30		53.99	21.61
1846	30		54	21.46
1848	30		53.99	21.8
1850	30		53.99	21.87
1852	29.9		54.29	27.94
1854	29.9		54.48	31.68
1856	29.9		54.48	32.09
1858	30		54.49	32.07
1860	30		54.48	32.27
1862	30		54.48	32.21
1864	30		54.49	32.14
1866	30		54.48	32.25
1868	30		54.49	32.25
1870	30		54.49	32.08
1872	30		54.48	31.47
1874	30		54.49	32.18
1876	30.1		54.48	31.43
1878	30.2		54.48	32.4
1880	30.1		54.48	31.37
1882	30.1		54.49	32.27
1884	30.1		54.49	31.73
1886	30.2		54.48	32.15
1888	30.1		54.49	32.36
1890	30		54.5	31.62
1892	30		54.49	31.86
1894	30		54.49	32.14
1896	30		54.49	31.54
1898	30		54.49	32.42
1900	30		54.69	37.19
1902	30		54.98	44.09
1904	30		54.98	44.09
1906	29.9		54.99	44.29
1908	29.9		54.98	43.47
1910	29.9		54.99	44.27
1912	30		54.99	44.4
1914	30		54.99	44.23
1916	30		54.99	44.36
1918	30		54.99	44.3
1920	30		54.99	44.46
1922	30		54.99	44.16
1924	30		54.99	44.16
1926	30		54.99	44.35
1928	30.1		54.99	44.19
1930	30		54.99	44.19
1932	30		54.99	43.8
1934	30.1		54.99	43.87
1936	30.1		54.99	44.02
1938	30.1		54.99	43.78
1940	30.1		54.99	43.64
1942	30.1		54.99	44.26
1944	30		54.99	43.72
1946	30		54.99	44.4
1948	30		54.99	43.95
1950	30		55.18	49.54
1952	30.1		55.48	57.79
1954	30		55.49	57.78
1956	29.9		55.49	57.61
1958	30		55.49	57.59
1960	30		55.5	58.07
1962	29.9		55.49	58.3
1964	29.9		55.49	58.16
1966	29.9		55.49	58.06
1968	29.9		55.5	58.11
1970	29.9		55.49	58.55
1972	29.9		55.49	58.02
1974	29.9		55.49	58.35
1976	29.9		55.49	58.14
1978	30		55.49	57.97
1980	30		55.49	58.06
1982	30		55.49	58.34
1984	30.1		55.49	57.35
1986	30.1		55.49	57.34
1988	30.1		55.49	57.51
1990	30.1		55.49	57.74
1992	30.1		55.49	57.18
1994	30.1		55.49	57.58
1996	30		55.49	58.46
1998	30.1		55.49	57.56
2000	30		55.59	61.51
2002	30		55.98	73.33
2004	30		55.98	73.25
2006	30		55.99	73.6
2008	30		55.99	74.33
2010	29.9		56	73.85
2012	29.9		55.99	73.91
2014	29.9		56	74.12
2016	29.9		56	73.62
2018	29.9		55.99	73.82
2020	29.9		55.99	73.61
2022	29.9		55.99	73.91
2024	29.9		55.99	73.79
2026	29.9		56	73.81
2028	30		55.99	73.8
2030	30		55.99	73.43
2032	30		55.99	72.82
2034	30		55.99	73.91
2036	30.2		55.99	73.62
2038	30.1		55.98	73.1
2040	30.1		56	74.07
2042	30.1		55.99	73.22
2044	30.1		55.98	73.13
2046	30.1		55.99	73.98
2048	30.1		55.99	73.31
2050	30		55.99	74.42
2052	30		56.07	76.43
2054	30		56.5	91.06
2056	30		56.5	91.43
2058	30		56.49	90.67
2060	30		56.5	91.76
2062	30		56.5	91.27
2064	29.9		56.5	92
2066	29.9		56.5	91.3
2068	30		56.5	91.43
2070	29.9		56.5	91.53
2072	29.9		56.5	91.52
2074	29.9		56.5	91.33
2076	29.9		56.5	91.16
2078	30		56.5	91.67
2080	30		56.5	91.23
2082	30		56.49	90.66
2084	30		56.5	91.6
2086	30.1		56.5	91.9
2088	30		56.49	90.49
2090	30		56.5	91.78
2092	30		56.5	90.76
2094	30.1		56.5	91.04
2096	30		56.49	90.78
2098	30		56.5	91.78
2100	30.1		56.74	100.45
2102	30.1		56.99	111.05
2104	30		57	110.56
2106	30		57	111.73
2108	30		57.01	110.82
2110	30		57	110.49
2112	30		57	111.63
2114	30		57.01	111.4
2116	30		57	111.9
2118	29.9		57	111.52
2120	29.9		57.01	111.34
2122	29.9		57.01	111.67
2124	29.9		57.01	111.28
2126	29.9		57.01	111.08
2128	29.9		57.01	111.42
2130	29.9		57	111.18
2132	30		57.01	111.18
2134	30		57	110.77
2136	30		57	111.15
2138	30.1		57	111.23
2140	30		57	110.55
2142	30.1		57	110.27
2144	30.1		57	111.57
2146	30.1		57	110.55
2148	30.1		57	110.42
2150	30.1		57	111.87
2152	30		57.42	129.77
2154	30		57.5	133.98
2156	30.1		57.51	133.18
2158	30		57.5	133.79
2160	30		57.5	133.58
2162	30		57.5	133.31
2164	30		57.5	133.88
2166	30		57.5	133.72
2168	29.9		57.5	133.78
2170	29.9		57.51	134.16
2172	29.9		57.51	133.9
2174	29.9		57.51	133.57
2176	29.9		57.5	134.12
2178	30		57.5	133.91
2180	30		57.51	134.34
2182	30		57.5	134.05
2184	30		57.51	133.63
2186	30		57.5	132.79
2188	30		57.5	133.8
2190	30.1		57.5	133.17
2192	30		57.5	133.01
2194	30.1		57.5	133.27
2196	30		57.51	134.15
2198	30		57.5	133.17
2200	30.1		57.6	138.9
2202	30.1		58.01	159.24
2204	30		58	159.29
2206	30		58.01	158.78
2208	30		58.01	159.57
2210	30		58.01	159.57
2212	30		58.01	158.82
2214	30		58.01	159.02
2216	30		58.01	159.5
2218	30		58	158.85
2220	30		58.01	159.28
2222	29.9		58.01	159.49
2224	30		58.01	158.25
2226	30		58.02	159.67
2228	30		58.01	159.5
2230	30		58.01	159.01
2232	29.9		58.01	159.08
2234	30		58.01	159.17
2236	29.9		58.02	158.85
2238	30		58.01	159.05
2240	30		58.01	158.79
2242	30		58.01	158.87
2244	30		58.01	158.85
2246	29.9		58.01	158.15
2248	30		58.01	158.32
2250	30.1		58.02	158.7
2252	30		58.44	183.62
2254	30		58.51	187.68
2256	30.1		58.51	187.35
2258	30.1		58.51	187.88
2260	30		58.51	187.65
2262	30.1		58.51	187.26
2264	30		58.52	187.98
2266	30		58.51	187.97
2268	30		58.51	187.44
2270	30		58.52	188.31
2272	30		58.52	187.66
2274	30		58.51	187.85
2276	30		58.52	187.92
2278	30		58.51	187.92
2280	30		58.52	187.37
2282	30		58.52	186.95
2284	30		58.52	187.44
2286	30		58.52	187.87
2288	30		58.52	187.8
2290	30		58.52	188.68
2292	30.1		58.51	187.67
2294	30		58.51	187.12
2296	30		58.52	187.42
2298	30		58.52	187.43
2300	30.1		58.77	203.81
2302	30.1		59	218.26
2304	30		59.01	219.08
2306	30		59.01	218.82
2308	30		59.02	219.52
2310	30		59.02	219.4
2312	29.9		59.01	219.23
2314	30		59.02	219.99
2316	29.9		59.02	219.52
2318	29.9		59.02	220.01
2320	29.9		59.02	219.92
2322	29.9		59.02	218.59
2324	29.9		59.02	219.27
2326	29.9		59.02	219.23
2328	29.9		59.02	219.13
2330	30		59.02	218.76
2332	30		59.02	218.63
2334	30		59.02	219.84
2336	30.1		59.01	219.25
2338	30.1		59.02	218.93
2340	30		59.02	219.23
2342	30.1		59.01	219.21
2344	30.1		59.02	219.14
2346	30		59.01	219.36
2348	30.1		59.01	220.06
2350	30.1		59.02	219.99
2352	30.1		59.02	219.97
2354	30.1		59.02	220.4
2356	30.1		59.01	219.53
2358	30.1		59.41	246.92
2360	30.1		59.52	254.02
2362	30		59.52	253.88
2364	30		59.52	254.5
2366	30		59.53	255.12
2368	29.9		59.53	254.63
2370	29.9		59.53	255.34
2372	29.9		59.53	254.07
2374	29.9		59.53	254.27
2376	29.9		59.53	253.4
2378	29.8		59.53	253.62
2380	29.8		59.53	253.78
2382	29.9		59.53	253.45
2384	29.9		59.53	252.77
2386	29.9		59.53	253.71
2388	29.9		59.53	253.21
2390	30		59.53	253.1
2392	29.9		59.53	253.97
2394	30		59.52	254.37
2396	30.1		59.53	253.12
2398	30.1		59.53	254.66
2400	30.1		59.77	272.2
2402	30.1		60.01	291.95
2404	30.1		60.02	292.45
2406	30.2		60.02	293.34
