Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
400	29.9		40.89	1.63
402	30		40.89	1.49
404	29.9		40.89	1.05
406	29.9		40.89	1.03
408	30.1		40.89	2.01
410	29.9		40.88	1.07
412	29.9		40.9	1.98
414	29.9		40.9	1.5
416	29.8		40.9	1.97
418	29.8		40.9	1.99
420	29.8		40.9	1.95
422	29.8		40.9	2.06
424	29.8		40.9	2
426	29.8		40.9	2.08
428	29.8		40.9	2.04
430	29.9		40.9	2.02
432	29.8		40.9	2.02
434	29.9		40.9	2.01
436	29.9		40.9	1.97
438	29.9		40.88	1.11
440	29.9		40.89	2.01
442	30		40.9	1.94
444	30		40.9	1.97
446	30		40.89	1.69
448	30.1		40.88	1.05
450	30.1		40.88	1.02
452	30		40.92	2
454	30		40.88	2.04
456	30		40.88	1.56
458	29.9		40.89	1.69
460	30		40.89	1.6
462	30		40.9	1.45
464	29.9		40.9	1.53
466	29.9		40.89	1.53
468	29.8		40.89	1.79
470	29.8		40.89	1.94
472	29.8		40.9	1.92
474	29.8		40.9	2.02
476	29.9		40.9	2.04
478	29.8		40.9	1.93
480	29.8		40.89	1.58
482	29.8		40.9	1.45
484	29.8		40.9	1.91
486	29.9		40.9	2.04
488	29.9		40.9	2.05
490	29.9		40.9	2.04
492	29.9		40.9	2
494	29.9		40.9	2.03
496	29.9		40.9	2.06
498	30		40.88	1.11
500	30.1		40.92	1.05
502	30		40.92	2.02
504	30		40.93	2
506	30.1		40.94	1.56
508	30		40.94	1.68
510	30		40.95	1.52
512	30		40.94	1.52
514	30		40.94	1.65
516	30		40.94	1.57
518	30		40.95	1.07
520	29.9		40.94	1.99
522	29.9		40.94	1.48
524	29.8		40.94	1.83
526	29.8		40.95	1.06
528	29.8		40.94	1.98
530	29.9		40.94	2.04
532	29.8		40.94	2.04
534	29.8		40.94	2.05
536	29.9		40.94	2
538	29.8		40.94	2.01
540	29.9		40.94	2.07
542	29.9		40.94	1.97
544	29.9		40.95	1.13
546	29.9		40.94	2.01
548	29.9		40.94	2.07
550	30		40.94	2.03
552	30		41.27	2.03
554	30.1		41.41	1.08
556	30		41.43	2.03
558	30		41.44	1.53
560	30.1		41.44	1.53
562	30		41.43	1.69
564	30		41.44	1.55
566	30.1		41.44	1.55
568	30.1		41.42	1.06
570	30		41.44	1.97
572	29.9		41.44	1.96
574	30		41.44	1.5
576	29.9		41.44	1.91
578	29.9		41.42	1.1
580	29.9		41.44	2
