Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
600	20		40.92	1.77
602	20		40.92	1.6
604	20		40.92	1.65
606	20		40.92	1.68
608	20		40.92	1.7
610	20		40.93	1.72
612	20		40.92	1.65
614	20		40.92	1.75
616	20		40.92	1.67
618	20		40.92	1.74
620	20		40.92	1.64
622	20		40.92	1.72
624	20		40.92	1.66
626	19.9		40.93	1.71
628	20		40.92	1.84
630	20		40.93	1.63
632	20		40.92	1.66
634	20		40.92	1.67
636	20		40.92	1.69
638	20		40.92	1.66
640	20		40.92	1.7
642	20		40.92	1.77
644	20		40.92	1.69
646	20		40.92	1.61
648	20		40.92	1.68
650	20		40.93	1.73
652	20		40.93	1.75
654	20		40.92	1.65
656	20		40.91	1.71
658	20		40.92	1.62
660	20		40.92	1.71
662	20		40.92	1.66
664	20		40.92	1.7
666	20		40.92	1.72
668	20		40.93	1.65
670	20		40.92	1.7
672	20		40.92	1.75
674	20		40.93	1.63
676	20		40.92	1.77
678	20		40.92	1.78
680	20		40.92	1.64
682	20		40.92	1.75
684	20		40.93	1.66
686	20		40.92	1.7
688	20		40.92	1.73
690	20		40.93	1.64
692	20		40.93	1.61
694	20		40.92	1.68
696	20		40.92	1.78
698	20		40.93	1.68
700	20		40.98	1.74
702	20		40.94	1.67
704	20		40.96	1.77
706	20		40.96	1.74
708	20		40.97	1.6
710	19.9		40.97	1.68
712	20.1		40.97	1.73
714	20		40.98	1.64
716	20		40.97	1.74
718	20		40.97	1.69
720	20		40.98	1.65
722	20		40.97	1.75
724	20		40.98	1.65
726	20		40.97	1.8
728	20		40.98	1.61
730	19.9		40.97	1.68
732	20		40.96	1.85
734	20		40.97	1.65
736	20		40.97	1.69
738	20		40.97	1.68
740	20		40.97	1.64
742	20		40.97	1.64
744	20		40.97	1.74
746	20		40.98	1.63
748	20		40.97	1.68
750	20		41.25	1.71
752	20		41.45	1.67
754	20		41.45	1.74
756	20		41.46	1.65
758	19.9		41.46	1.69
760	20		41.46	1.72
762	20		41.47	1.65
764	20		41.47	1.7
766	20		41.47	1.69
768	20		41.47	1.69
770	20		41.46	1.73
772	20		41.47	1.69
774	20		41.46	1.72
776	20		41.47	1.68
778	20		41.47	1.67
780	20		41.47	1.63
782	20		41.46	1.69
784	20		41.46	1.69
786	20		41.46	1.66
788	20		41.46	1.65
790	20		41.46	1.67
792	20		41.46	1.79
794	20		41.47	1.76
796	20		41.46	1.66
798	20		41.46	1.67
800	19.9		41.46	1.76
802	20		41.95	1.8
804	20		41.96	1.65
806	20		41.96	1.67
808	20		41.96	1.78
810	20		41.97	1.7
812	19.9		41.97	1.7
814	20		41.96	1.83
816	20		41.97	1.72
818	20		41.97	1.72
820	20		41.97	1.68
822	20		41.97	1.74
824	19.9		41.97	1.71
826	20		41.97	1.83
828	20		41.98	1.71
830	20		41.97	1.69
832	20		41.97	1.69
834	20		41.97	1.78
836	20		41.97	1.76
838	20		41.97	1.78
840	20		41.97	1.73
842	20		41.97	1.75
844	20		41.97	1.71
846	20		41.97	1.72
848	20		41.97	1.69
850	20		41.97	1.69
852	20		42.45	1.73
854	20		42.47	1.71
856	19.9		42.47	1.73
858	20		42.46	1.82
