Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
752	24.9		40.9	2.14
754	24.9		40.9	2.14
756	24.9		40.9	2.18
758	24.8		40.9	2.13
760	24.9		40.9	2.11
762	24.9		40.89	1.28
764	24.9		40.91	2.05
766	24.8		40.9	2.26
768	24.8		40.9	2.2
770	24.9		40.9	2.23
772	24.9		40.9	2.14
774	24.8		40.9	1.85
776	24.9		40.9	2.21
778	24.9		40.9	1.74
780	24.8		40.9	1.54
782	24.8		40.9	2.07
784	24.9		40.9	2.28
786	24.9		40.88	1.26
788	24.9		40.91	2.06
790	25		40.9	2.22
792	24.9		40.9	2.18
794	24.9		40.91	2.14
796	24.9		40.9	2.31
798	24.9		40.9	2.15
800	24.9		40.91	2.12
802	24.9		40.9	2.02
804	25		40.89	2.22
806	24.9		40.9	2.17
808	24.9		40.9	2.13
810	24.9		40.9	2.18
812	24.9		40.9	2.15
814	24.9		40.9	2.15
816	24.9		40.9	2.25
818	24.9		40.91	2.06
820	24.8		40.9	2.27
822	24.9		40.9	2.29
824	24.9		40.9	2.21
826	24.9		40.91	2.02
828	24.9		40.9	2.26
830	24.9		40.9	2.15
832	24.9		40.9	2.23
834	24.9		40.9	2.24
836	24.9		40.9	2.05
838	24.9		40.9	2.14
840	24.9		40.9	2.2
842	24.9		40.9	2.11
844	24.8		40.9	2.14
846	24.9		40.9	2.11
848	24.7		40.9	2.22
850	24.9		40.97	1.86
852	25		40.91	1.59
854	24.9		40.95	1.57
856	24.8		40.95	2.18
858	24.9		40.94	2.35
860	24.9		40.95	1.3
862	24.9		40.95	2.2
864	24.9		40.95	2.31
866	24.9		40.94	2.4
868	24.8		40.95	2.21
870	25		40.94	2.39
872	25		40.94	2.23
874	25		40.95	1.96
876	24.9		40.94	2.37
878	24.9		40.95	2.34
880	25		40.95	2.4
882	25		40.95	2.34
884	25		40.95	2.23
886	25		40.95	2.24
888	25		40.95	2.24
890	24.9		40.94	2.19
892	25		40.95	2.24
894	25		40.95	1.3
896	25		40.95	2.08
898	25		40.95	2.21
900	24.9		40.95	2.16
902	24.9		41.28	2.23
904	24.9		41.42	2.2
906	24.9		41.44	2.15
908	24.9		41.43	2.23
910	24.9		41.44	2.18
912	24.9		41.44	2.22
914	24.9		41.44	1.98
916	24.9		41.44	2.22
918	24.9		41.44	2.24
920	24.9		41.44	2.14
922	24.9		41.44	2.2
924	24.9		41.44	2.25
926	24.8		41.44	2.16
928	24.9		41.44	2.19
930	24.9		41.42	1.32
932	24.9		41.45	2.2
934	24.9		41.44	2.43
936	24.9		41.44	2.44
938	24.9		41.44	2.28
940	24.9		41.44	2.22
942	24.9		41.44	2.19
944	24.9		41.44	2.19
946	24.9		41.44	2.12
948	24.9		41.44	2.14
950	24.9		41.71	2.2
952	24.9		41.92	2.2
954	24.9		41.93	2.18
956	24.9		41.94	2.2
958	24.9		41.94	2.2
960	24.9		41.94	2.16
962	24.9		41.94	2.21
964	24.9		41.95	1.97
966	24.9		41.94	2.39
968	24.9		41.94	2.38
970	24.9		41.95	2.15
972	24.9		41.94	2.37
974	24.9		41.94	2.26
976	24.9		41.94	2.25
978	24.9		41.94	2.29
980	24.9		41.94	2.21
982	24.9		41.94	2.21
984	24.9		41.94	2.25
986	24.9		41.94	2.23
988	24.9		41.94	2.17
990	24.9		41.94	2.17
992	24.9		41.94	2.29
994	24.8		41.94	2.22
996	24.8		41.95	2.05
998	25		41.94	1.8
1000	24.9		42.2	1.8
1002	24.9		42.44	1.89
1004	24.9		42.44	2.3
1006	24.9		42.45	2.2
1008	25		42.45	2.24
1010	25		42.45	2.24
1012	25		42.45	2.13
1014	24.9		42.45	2.21
1016	25		42.45	2.24
1018	25		42.45	2.28
1020	24.9		42.45	2.07
1022	24.9		42.45	2.22
1024	25		42.45	2.25
1026	25		42.45	2.12
1028	24.9		42.45	2.07
1030	24.9		42.45	2.22
1032	24.9		42.45	2.25
1034	25		42.45	2.11
1036	24.9		42.45	2.21
1038	24.9		42.45	1.79
1040	24.9		42.45	2.27
1042	24.9		42.45	2.1
1044	25		42.44	1.75
1046	24.9		42.44	1.69
1048	24.9		42.46	1.78
1050	25		42.52	1.8
1052	25		42.96	1.63
1054	25		42.94	2
1056	25		42.94	2.31
1058	24.9		42.95	2.19
1060	25		42.95	2.22
1062	25		42.94	2.29
1064	25		42.95	2.02
1066	24.9		42.95	2.16
1068	25		42.95	2.23
1070	25.1		42.95	1.3
1072	25		42.95	2.13
1074	25		42.95	2.24
1076	24.9		42.94	2.38
1078	25		42.95	2.22
1080	25		42.94	2.27
1082	25		42.95	1.83
1084	25		42.95	2.21
1086	24.9		42.95	2.16
1088	25		42.94	2.31
1090	24.9		42.94	2.25
1092	25		42.95	1.82
1094	25		42.95	1.28
1096	24.9		42.95	2.07
1098	25		42.95	2.29
1100	25		42.94	2.26
1102	25		43.32	1.96
1104	25		43.44	2.24
1106	25		43.45	2.17
1108	25		43.45	2.26
1110	25		43.45	2.26
1112	24.9		43.45	2.22
1114	24.9		43.45	2.29
1116	24.9		43.45	2.27
1118	25		43.44	1.37
1120	24.9		43.45	2.31
1122	24.9		43.45	2.33
1124	24.9		43.45	2.35
1126	24.9		43.45	2.23
1128	24.9		43.45	2.08
1130	24.8		43.45	2.25
1132	24.8		43.45	2.19
1134	25		43.45	1.65
1136	24.9		43.45	1.76
1138	24.9		43.46	1.88
1140	24.9		43.45	2.37
1142	24.9		43.45	2.17
1144	24.9		43.45	2.22
1146	24.9		43.44	1.39
1148	25		43.46	2.28
1150	24.9		43.45	2.35
1152	25		43.45	2.23
1154	25		43.45	2.36
1156	24.9		43.46	1.98
1158	25		43.46	2.16
1160	25.1		43.65	1.37
1162	25		43.94	2.18
1164	25		43.96	2.1
1166	25.2		43.96	1.31
1168	25		43.96	2.19
1170	25.1		43.97	1.99
1172	25		43.95	2.32
1174	25		43.96	2.08
1176	25		43.96	1.34
1178	25		43.96	2.19
1180	24.8		43.96	2.12
1182	24.9		43.95	2.29
1184	25.1		43.96	1.69
1186	24.9		43.96	1.68
1188	24.9		43.97	1.97
1190	25.1		43.95	1.71
1192	24.9		43.95	1.73
1194	24.9		43.97	1.74
1196	25.1		43.96	1.71
1198	24.9		43.95	1.75
1200	25		43.97	1.77
1202	25.1		44.33	1.72
1204	25		44.45	1.66
1206	25		44.47	1.95
1208	25.1		44.45	2.31
1210	25.1		44.46	2.1
1212	25.1		44.46	2.21
1214	25		44.46	2.16
1216	25.1		44.46	2.23
1218	25.1		44.46	2.26
1220	25.1		44.47	2.07
1222	25.1		44.46	2.23
1224	25		44.47	2.15
1226	25		44.47	2.21
1228	25.1		44.46	2.35
1230	25		44.46	2.19
1232	25		44.47	2.01
1234	25		44.46	2.31
1236	25		44.46	2.29
1238	24.9		44.46	2.12
1240	25		44.46	2.25
1242	25		44.44	1.36
1244	24.9		44.46	2.17
