Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
1246	25		44.46	2.2
1248	25.1		44.46	1.79
1250	25		44.54	1.69
1252	25		44.97	1.9
1254	25		44.96	1.35
1256	24.9		44.97	2.21
1258	24.9		44.97	2.16
1260	25		44.97	1.32
1262	24.9		44.97	2.23
1264	25		44.97	2.19
1266	24.8		44.96	2.32
1268	25		44.97	1.95
1270	25		44.97	1.71
1272	25		44.98	1.57
1274	24.9		44.97	2.16
1276	24.9		44.96	2.33
1278	24.9		44.96	2.17
1280	24.9		44.97	1.91
1282	25		44.96	2.19
1284	25		44.97	2.09
1286	25		44.97	2.17
1288	25		44.97	2.23
1290	24.9		44.97	2.22
1292	25		44.97	2.25
1294	25		44.96	2.26
1296	25		44.97	2.13
1298	24.9		44.98	2.06
1300	25		45.27	2.32
1302	25.1		45.45	1.75
1304	25		45.47	1.54
1306	25		45.48	2.09
1308	25.1		45.45	1.37
1310	25		45.48	2.21
1312	25.1		45.48	2.14
1314	25.2		45.45	1.38
1316	24.9		45.48	2.1
1318	25.1		45.48	2.13
1320	25.1		45.47	1.7
1322	25		45.48	1.59
1324	25		45.48	2.16
1326	25.1		45.45	1.33
1328	24.9		45.47	2.18
1330	25		45.47	2.14
1332	25.1		45.46	1.8
1334	25		45.47	1.67
1336	25		45.48	1.89
1338	25.1		45.46	1.81
1340	25		45.47	1.63
1342	25		45.48	2.03
1344	25.1		45.46	1.79
1346	25		45.47	1.61
1348	25.1		45.48	2.02
1350	25		45.47	2.41
1352	25		45.87	2.19
1354	25		45.96	2.3
1356	25.1		45.97	2.21
1358	25		45.97	2.31
1360	25		45.98	2
1362	25		45.97	2.29
1364	25		45.98	1.88
1366	24.9		45.98	2.28
1368	24.9		45.98	2.26
1370	25.1		45.97	1.75
1372	25		45.97	1.76
1374	25		45.99	1.7
1376	25.1		45.97	1.77
1378	24.9		45.98	1.62
1380	25		45.98	1.96
1382	25.2		45.97	1.74
1384	25		45.98	1.62
1386	25		45.99	1.94
1388	25.1		45.98	1.32
1390	25		45.98	2.16
1392	25.1		45.98	2.08
1394	25.1		45.98	1.35
1396	25.1		45.98	2.13
1398	25.1		45.98	2.17
1400	25		46.06	2.41
1402	25		46.48	2.17
1404	25		46.47	2.34
1406	25		46.48	2.25
1408	25		46.48	2.28
1410	25		46.48	2.36
1412	25		46.49	2.17
1414	24.9		46.48	2.32
1416	24.9		46.48	2.32
1418	25		46.48	2.31
1420	25		46.46	1.38
1422	25		46.49	2.22
1424	24.9		46.48	2.34
1426	24.9		46.48	2.32
1428	24.9		46.48	2.3
1430	24.9		46.48	2.01
1432	24.9		46.48	2.2
1434	24.9		46.48	2.14
1436	24.9		46.48	2.09
1438	24.9		46.46	1.37
1440	24.9		46.48	2.26
1442	24.9		46.47	2.39
1444	24.8		46.48	2.28
1446	24.9		46.47	2.31
1448	25		46.47	1.83
1450	24.9		46.48	1.76
1452	24.9		46.56	1.89
1454	25		46.97	1.46
1456	24.9		46.97	2.24
1458	24.9		46.98	2.29
1460	24.9		46.98	2.27
1462	25		46.98	2.09
1464	24.9		46.98	2.03
1466	25		46.98	2.22
1468	25		46.98	2.3
1470	25		46.98	2.23
1472	25		46.98	2.26
1474	25		46.98	2.23
1476	24.9		46.98	2.21
1478	24.9		46.98	2.36
1480	24.8		46.98	2.32
1482	24.8		46.98	2.24
1484	24.9		46.98	1.76
1486	24.8		46.99	1.42
1488	24.8		46.99	2.15
1490	25		46.99	1.72
1492	24.9		46.98	2.13
1494	24.9		47	1.58
1496	25		46.98	1.76
1498	24.9		46.98	1.88
1500	24.8		46.99	1.85
1502	25		47.19	1.41
1504	25		47.46	2.15
1506	25		47.48	1.6
1508	25.1		47.48	2.31
1510	25.1		47.48	2.28
1512	25.1		47.49	2.07
1514	25.1		47.49	2.24
1516	25.1		47.48	2.34
1518	25.1		47.48	2.4
1520	25		47.49	2.22
1522	25.2		47.49	2.4
1524	25.1		47.48	2.45
1526	25.1		47.49	2.09
1528	25.1		47.48	2.35
1530	25.1		47.48	2.33
1532	25		47.48	2.38
1534	25		47.49	2.14
1536	25.1		47.47	1.43
1538	25		47.49	2.23
1540	24.9		47.49	2.22
1542	25.1		47.48	1.77
1544	25		47.47	1.34
1546	25		47.5	1.96
1548	24.9		47.48	2.38
1550	25		47.48	2.37
1552	24.9		47.72	2.29
1554	24.9		47.96	2.13
1556	25.1		47.97	1.89
1558	24.9		47.98	1.83
1560	24.9		48	1.91
1562	24.9		47.98	1.84
1564	24.8		47.98	1.92
1566	24.9		47.98	2.12
1568	25.1		47.99	1.77
1570	25.1		47.99	1.76
1572	25		48	2.01
1574	25.1		47.99	2.37
1576	25.1		47.98	2.43
1578	24.9		47.99	2.19
1580	24.9		47.99	2.19
1582	25.2		47.98	1.82
1584	25.2		47.99	1.45
1586	25.1		48	1.91
1588	25.1		47.99	2.31
1590	25		47.98	2.39
1592	25.1		47.99	2.3
1594	25		47.98	2.41
1596	24.9		47.99	2.23
1598	24.9		47.98	2.32
1600	25.1		47.98	1.81
1602	25		48.16	1.79
1604	25		48.47	1.94
1606	24.9		48.47	2.48
1608	24.9		48.47	2.4
1610	24.5		48.47	1.9
1612	23.9		48.47	1.47
1614	24.3		48.48	2.28
1616	24.5		48.48	2.37
1618	25		48.48	1.8
1620	25.2		48.48	1.78
1622	25.1		48.5	1.63
1624	25.2		48.49	2.12
1626	25.2		48.47	2.51
1628	25.3		48.49	2.04
1630	25.2		48.48	2.29
1632	25.3		48.49	2.26
1634	25.2		48.48	2.38
1636	25.3		48.49	2.06
1638	25.2		48.48	2.4
1640	25.3		48.49	2.16
1642	25.2		48.48	2.41
1644	25.2		48.49	2.09
1646	25.2		48.48	2.35
1648	25		48.48	2.25
1650	25.1		48.48	2.36
1652	25.1		48.72	2.51
1654	25.1		48.98	2.05
1656	25		48.98	2.47
1658	25		48.98	2.29
1660	25		48.97	1.52
1662	25		48.98	2.33
1664	25		48.99	2.32
1666	25		48.98	2.48
1668	24.9		48.98	2.29
1670	25		48.98	2.3
1672	24.9		48.98	2.39
1674	24.9		48.98	2.24
1676	25		48.98	1.49
1678	24.9		48.99	2.31
1680	24.9		48.98	2.37
1682	25		48.98	2.39
1684	24.9		48.98	2.28
1686	24.9		48.99	2.14
1688	25		48.97	1.48
1690	24.9		48.99	2.34
1692	24.9		48.98	2.38
1694	24.9		48.98	2.43
1696	25		48.98	2.28
1698	25		48.98	1.48
1700	25		49.4	2.36
1702	24.9		49.48	2.41
1704	25		49.48	2.41
1706	25		49.48	2.39
1708	25		49.49	1.98
1710	25		49.48	2.41
1712	25		49.49	2.33
1714	25		49.48	2.44
1716	25		49.49	2.29
1718	25		49.48	2.4
1720	25		49.49	2.26
1722	25		49.48	2.4
1724	25		49.48	2.38
1726	25		49.48	2.41
1728	25		49.48	2.43
1730	24.9		49.49	2.19
1732	25		49.48	2.37
1734	25		49.48	2.41
1736	25		49.49	2.09
1738	25		49.49	2.29
1740	24.9		49.48	2.4
1742	25		49.48	2.27
1744	24.9		49.48	2.31
1746	25		49.49	2.19
1748	25		49.48	1.45
1750	24.9		49.49	2.25
1752	24.9		49.81	2.42
1754	24.9		49.97	2.46
1756	24.9		49.98	2.35
1758	25		49.98	2.36
1760	24.9		49.98	2.07
1762	24.9		49.99	2.16
1764	24.9		49.98	2.42
1766	25		49.97	1.47
1768	24.9		49.99	2.36
1770	25		49.99	2.3
1772	25.1		49.97	1.5
1774	25		49.98	1.69
1776	25		50	2.02
1778	25		49.97	1.51
1780	25		49.99	2.39
1782	25		49.99	2.35
1784	25		49.99	2.47
1786	24.9		49.98	2.33
1788	25		49.99	2.4
1790	25		49.97	1.51
1792	24.9		49.99	2.33
1794	25		49.99	2.48
1796	25		49.98	1.83
1798	25		49.99	1.75
1800	25		50.13	2.38
1802	25		50.47	2.36
1804	25		50.48	2.33
1806	25		50.48	2.33
1808	25		50.49	2.3
1810	25		50.49	2.41
1812	25		50.49	2.36
1814	25		50.49	2.38
1816	25		50.48	2.46
1818	25		50.49	2.15
1820	25		50.49	2.45
1822	25		50.49	2.43
1824	25		50.48	2.48
1826	25		50.49	2.37
1828	25		50.49	2.35
1830	25		50.49	2.44
1832	25		50.49	2.43
1834	25		50.48	2.44
1836	24.9		50.48	2.42
1838	25		50.48	2.47
1840	25		50.48	1.55
1842	25		50.49	2.4
1844	24.9		50.49	2.4
1846	24.9		50.48	2.54
1848	25		50.49	1.54
1850	24.9		50.72	2.48
1852	25		50.98	2.37
1854	25		50.98	2.48
1856	25		50.99	2.22
1858	25		51	2.38
1860	25		50.99	2.52
1862	25		50.99	2.35
1864	25		51	2.34
1866	25		50.99	2.48
1868	24.9		50.99	2.44
1870	25		50.99	2.4
1872	24.9		50.99	2.39
1874	24.9		51	2.32
1876	24.9		50.99	2.41
1878	25		50.99	2.36
1880	25		50.99	2.33
1882	25		50.99	2.21
1884	25		51	2.46
1886	25		50.99	2.42
1888	25		50.99	2.42
1890	25		50.99	2.43
1892	24.9		50.99	2.4
1894	24.9		50.99	2.34
1896	24.9		50.99	2.44
1898	24.9		50.99	2.11
1900	25		50.99	2.33
1902	25		51.3	2.38
1904	24.9		51.47	2.22
1906	25		51.48	2.34
1908	25.1		51.49	1.95
1910	24.9		51.49	1.87
1912	24.9		51.49	2.19
1914	25		51.49	1.91
1916	25		51.49	1.98
1918	25		51.5	2.07
1920	25		51.48	2.52
1922	24.9		51.48	2.37
1924	25		51.48	2.39
1926	25		51.48	2.4
1928	25		51.49	2.32
1930	25		51.49	2.26
1932	25		51.49	2.44
1934	25		51.49	2.46
1936	25		51.48	2.5
1938	25		51.49	2.21
1940	25		51.49	2.45
1942	25		51.49	2.49
1944	25		51.49	2.28
1946	25		51.48	2.45
1948	25		51.5	2.04
1950	25		51.49	2.45
1952	25		51.95	2.5
1954	25		51.99	2.52
1956	25		52	2.4
1958	25		52	2.47
1960	24.9		51.99	2.55
1962	24.9		52	2.15
1964	25		51.98	1.57
1966	24.9		52	2.49
1968	25		52	2.35
1970	25		51.98	1.54
1972	24.9		52	2.34
1974	25		52	2.43
1976	25		51.99	1.53
1978	24.9		52	2.34
1980	25		52	2.43
1982	25		51.99	2.45
1984	24.9		52	2.26
1986	24.9		52	2.36
1988	25		52	2.43
1990	25		52	2.19
1992	25		52	2.19
1994	25		52	2.46
1996	25		52	2.3
1998	25		52	2.29
2000	25		52.06	2.61
2002	24.9		52.49	3.63
2004	25		52.49	3.47
2006	25		52.49	3.59
2008	25		52.5	3.22
2010	25		52.5	3.58
2012	25		52.5	3.63
2014	25		52.5	3.62
2016	24.9		52.5	3.57
2018	25		52.5	3.57
2020	25		52.5	3.55
2022	25		52.5	3.26
2024	24.9		52.5	3.49
2026	25		52.49	3.68
2028	24.9		52.5	3.53
2030	25		52.51	3.22
2032	25		52.5	2.74
2034	25		52.5	3.6
2036	24.9		52.5	3.63
2038	25		52.5	3.67
2040	25.1		52.5	3.25
2042	25		52.51	3.04
2044	25		52.51	3.44
2046	25		52.49	3.72
2048	25		52.5	3.46
2050	25		52.5	3.55
2052	25		52.53	3.77
2054	25		52.99	6.77
2056	25		52.99	6.68
2058	25		53	6.7
2060	25		53	6.86
2062	24.9		53	6.83
2064	25		53	6.8
2066	25.1		52.99	6.54
2068	25		53	6.3
2070	25		53.01	6.52
2072	25		53	6.93
2074	25		53	6.77
2076	25		53	6.8
2078	25		53	6.48
2080	25		53	6.89
2082	25		53.01	6.53
2084	25		53	6.79
2086	25		53	6.88
2088	25		53	6.7
2090	25		53	6.91
2092	25		53	6.47
2094	25		53	6.9
2096	25		53	6.65
2098	25		53	6.83
2100	25		53.16	8.24
2102	24.9		53.48	11.3
2104	25		53.49	11.48
2106	25		53.49	10.8
2108	25		53.5	11.41
2110	24.9		53.5	11.44
2112	25		53.5	11.5
2114	25		53.49	10.63
2116	25		53.5	11.44
2118	25		53.5	11.48
2120	25		53.5	11.45
2122	24.9		53.5	11.53
2124	25		53.5	11.33
2126	25		53.5	11.34
2128	25		53.5	11.05
2130	25		53.5	11.38
2132	25		53.5	11.41
2134	24.9		53.5	11.36
2136	25		53.5	11.36
2138	24.9		53.5	11.33
2140	25		53.5	11.05
2142	25		53.5	10.99
2144	25		53.5	10.92
2146	25		53.51	11.25
2148	25		53.5	11.48
2150	25		53.56	12.08
2152	25		54	16.9
2154	25		53.99	17.05
2156	25		53.99	17.22
2158	25		54	17.27
2160	24.9		54	17.17
2162	25		54	17.23
2164	25		53.99	16.4
2166	25		54.01	17.13
2168	25		54	17.31
2170	25		54	17.22
2172	25		54	17.34
2174	25		54	17.23
2176	25		54.01	16.9
2178	25		54	17.29
2180	25		54	16.45
2182	25		54.01	17.19
2184	25		54.01	17.23
2186	25		54	17.29
2188	25		54	17.35
2190	25		54	17.21
2192	25		54	17.22
2194	25		54	17.1
2196	24.9		54	17.22
2198	25		54	17.09
2200	25		54.07	17.6
2202	25		54.49	24.34
2204	25		54.49	23.87
2206	25		54.48	24.29
2208	25		54.49	24
2210	25		54.49	24.06
2212	25		54.49	23.98
2214	24.9		54.49	24.03
2216	25		54.5	23.97
2218	25		54.49	23.34
2220	25		54.5	24.22
2222	24.9		54.49	24.14
2224	25		54.49	24.19
2226	25		54.49	23.34
2228	25		54.5	24.06
2230	25		54.49	24.14
2232	25		54.49	24.24
2234	25		54.49	24.01
2236	25		54.49	24.1
2238	24.9		54.48	24.12
2240	25		54.49	23.69
2242	25		54.49	23.75
2244	25		54.49	23.55
2246	24.9		54.5	24.05
2248	25		54.49	24.34
2250	25.1		54.58	24.98
2252	24.9		54.98	32.09
2254	25		54.99	32.11
2256	25.1		54.99	31.56
2258	25		55	31.22
2260	25		55	31.8
2262	25		54.99	32.35
2264	25.1		55	32.08
2266	25		54.99	32.28
2268	25.1		55	31.88
2270	25		54.99	32.5
2272	25.1		55	32.21
2274	25.1		54.99	32.38
2276	25.1		55	32.16
2278	25.1		55	32.33
2280	25		55	32.31
2282	25		55	32.43
2284	25		54.99	32.36
2286	25		54.99	32.14
2288	25		55	32.22
2290	25		55	32.05
2292	24.9		54.99	32.34
2294	25		54.99	31.43
2296	25		54.99	32.46
2298	25		55	32.16
2300	25		55.18	35.89
2302	25		55.48	40.75
2304	24.9		55.49	41
2306	25		55.48	40.48
2308	24.9		55.49	41.85
2310	25		55.49	41.56
2312	24.9		55.49	41.54
2314	25		55.49	40.74
2316	25		55.49	41.52
2318	25		55.49	41.15
2320	25		55.5	41.06
2322	25		55.49	41.42
2324	25		55.49	40.92
2326	25		55.49	41.29
2328	24.9		55.5	41.52
2330	24.9		55.49	41.09
2332	25		55.49	40.47
2334	25		55.5	41.67
2336	25		55.5	41.19
2338	25		55.49	41.65
2340	25		55.49	41.66
2342	25		55.49	41.02
2344	24.9		55.49	41.42
2346	25		55.49	41.53
2348	25.1		55.49	40.82
2350	25		55.67	44.16
2352	25		55.99	51.63
2354	25.2		55.98	51.2
2356	25		55.98	51.09
2358	25		56.01	51.12
2360	25.1		55.99	51.28
2362	25		56	51.17
2364	25		55.99	51.81
2366	25		55.99	52.06
2368	25.1		56	51.85
2370	25.1		55.99	51.95
2372	25		56	51.7
2374	25		55.99	52.25
2376	25.1		56	52.2
2378	25		56	51.82
2380	25.1		56	52.15
2382	25.1		55.99	52.29
2384	25.1		56	51.92
2386	25		56	51.92
2388	25.1		56	52.02
2390	25		55.99	52.08
2392	25		56	51.91
2394	25		55.99	52.12
2396	25		55.99	52.18
2398	25		55.99	51.87
2400	25		55.99	52.1
2402	25		56.49	63.71
2404	25		56.5	63.63
2406	25		56.5	63.77
2408	25		56.5	63.84
2410	24.9		56.5	63.94
2412	25		56.5	63.79
2414	24.9		56.5	64.2
2416	25		56.51	63.41
2418	24.9		56.5	63.26
2420	24.9		56.51	64.18
2422	25		56.5	63.93
2424	24.9		56.5	63.92
2426	24.9		56.5	63.38
2428	25		56.5	63.34
2430	24.9		56.5	63.4
2432	24.9		56.51	63.29
2434	25		56.5	63.31
2436	25		56.49	63.36
2438	25		56.51	63.84
2440	25		56.5	64.39
2442	25		56.5	64.19
2444	25		56.5	64.18
2446	25		56.5	63.56
2448	25		56.5	63.93
2450	25.1		56.56	65.57
2452	25.1		57	77.38
2454	25.1		57	77.89
2456	25.1		57.01	77.69
2458	25.1		57.01	77.63
2460	25.1		57.01	78.31
2462	25.1		57.01	78.13
2464	25		57.01	77.8
2466	25		57.01	77.88
2468	25.1		57	77.2
2470	25		57.01	78.27
2472	25		57.01	78.05
2474	25		57	76.98
2476	25		57.01	78.27
2478	25		57.01	77.87
2480	25		57.01	78.02
2482	25		57.01	78.33
2484	25		57.01	78.26
2486	25		57.01	77.58
2488	25		57	77.91
2490	25		57.01	77.73
2492	24.9		57	77.65
2494	25		57.01	77.66
2496	25		57	76.89
2498	25		57.08	80.36
2500	24.9		57.5	93.66
2502	24.9		57.5	93.28
2504	25		57.5	93.4
2506	25		57.5	93.03
2508	25		57.51	92.87
2510	25		57.51	93.43
2512	24.9		57.5	93.95
2514	25		57.5	93.55
2516	25		57.5	93.3
2518	25		57.51	93.68
2520	25		57.5	93.79
2522	25.1		57.51	93.89
2524	25		57.51	93.53
2526	25.1		57.51	93.55
2528	25		57.5	94.14
2530	25		57.51	93.26
2532	25		57.5	93.64
2534	25.1		57.5	93.52
2536	25		57.51	92.85
2538	24.9		57.51	93.69
2540	25		57.5	93.64
2542	25		57.5	92.54
2544	25		57.51	93.73
2546	25		57.51	94.09
2548	25		57.5	93.95
2550	25		57.56	95.67
2552	25		58	111.49
2554	25		58	111.08
2556	25		58.01	110.82
2558	25		58	111.82
2560	25		58.01	111.49
2562	25		58.01	111.91
2564	25		58	110.91
2566	24.9		58.01	110.86
2568	25		58	110.8
2570	25		58	110.58
2572	24.9		58.01	111.3
2574	24.9		58.01	111.93
2576	25		58.01	110.58
2578	24.9		58.01	110.86
2580	25		58.01	111.28
2582	25		58	110.77
2584	25		58.01	110.67
2586	25		58.01	111.27
2588	25		58	111.74
2590	25		58.01	111.13
2592	25		58.01	111.54
2594	25.1		58.01	111.38
2596	25		58.01	111.94
2598	25		58.01	111.59
2600	25.1		58.1	116.33
2602	25.1		58.5	131.73
2604	25.1		58.51	131.04
2606	25.1		58.52	132.74
2608	25		58.51	132.7
2610	25		58.52	132.07
2612	25		58.51	132.38
2614	25		58.51	132.54
2616	25		58.51	132.6
2618	24.9		58.51	131.84
2620	25		58.52	131.98
2622	25		58.5	131.87
2624	24.9		58.52	131.49
2626	25		58.51	132
2628	25		58.51	131.73
2630	25		58.52	132.35
2632	25		58.52	132.54
2634	25		58.51	132.06
2636	25		58.51	132.32
2638	25		58.51	131.76
2640	25		58.52	132.17
2642	25		58.52	132.52
2644	25		58.51	132.42
2646	24.9		58.52	131.89
2648	25		58.51	132.22
2650	25.1		58.51	131.63
2652	24.9		58.83	145.79
2654	25		59.01	155.71
2656	25		59	155.26
2658	25		59.02	154.98
2660	25		59.01	156.09
2662	25		59	155.83
2664	25		59.02	155.93
2666	25		59.01	156.13
2668	25		59.02	156.03
2670	25.1		59.01	156.36
2672	25.1		59.01	156.44
2674	25		59.02	156.35
2676	25		59.01	156.53
2678	25		59.01	156.44
2680	25		59.01	155.72
2682	25.1		59.01	155.9
2684	25.1		59.01	156.12
2686	25		59.02	155.22
2688	25		59.02	156.45
2690	25		59	155.88
2692	25		59.02	155.88
2694	25		59.01	156.39
2696	25		59.01	156.17
2698	25		59.01	156.82
2700	25		59.27	170.63
2702	25		59.51	183.3
2704	24.9		59.52	183.73
2706	24.9		59.51	184.04
2708	25		59.51	183.32
2710	25		59.51	184.62
2712	25		59.53	183.93
2714	25.1		59.51	183.32
2716	25		59.52	183.41
2718	24.9		59.53	183.15
2720	25.1		59.52	183.61
2722	25		59.51	183.1
2724	25		59.53	183.04
2726	24.9		59.51	183.06
2728	25		59.52	183.65
2730	25.1		59.52	183.28
2732	25		59.52	183.16
2734	25.1		59.53	183.25
2736	25.1		59.52	183.95
2738	25.1		59.52	183.66
2740	25		59.53	184.52
2742	25.1		59.52	183.63
2744	25.1		59.52	184.28
2746	25.1		59.53	183.05
2748	25		59.52	183.97
2750	25.1		59.52	183.68
2752	25.1		59.52	184.46
2754	25.2		59.65	192.15
2756	25.1		60.03	216.1
2758	25.1		60.03	215.61
2760	25.1		60.02	215.51
2762	25.1		60.03	216.07
2764	25.1		60.03	216.09
2766	25.1		60.03	215.31
2768	25		60.03	215.61
2770	25		60.02	216.49
2772	25.1		60.02	215.51
2774	25		60.02	215.22
2776	24.9		60.03	214.61
2778	25		60.02	215.1
2780	25		60.01	215.6
2782	25		60.03	215.07
2784	25		60.02	215.52
2786	24.9		60.02	215.46
2788	25		60.02	214.64
2790	25		60.02	214.81
2792	25		60.02	214.23
2794	25		60.03	214.55
2796	25		60.02	215.06
2798	24.9		60.02	214.45
2800	25		60.02	214.42
