Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
602	34.9		40.91	2.22
604	34.9		40.9	2.17
606	34.9		40.9	2.21
608	34.9		40.9	2.22
610	34.9		40.9	2.14
612	34.9		40.9	2.18
614	34.9		40.9	2.22
616	34.9		40.9	2.22
618	34.9		40.9	2.24
620	34.9		40.9	2.15
622	34.9		40.9	2.2
624	34.9		40.9	2.16
626	34.9		40.9	2.19
628	34.9		40.9	2.26
630	34.9		40.9	2.25
632	34.9		40.9	2.24
634	34.9		40.9	2.15
636	34.9		40.9	2.24
638	34.9		40.9	2.18
640	34.9		40.91	2.23
642	35		40.91	2.28
644	34.9		40.9	2.28
646	34.9		40.91	2.12
648	34.9		40.9	2.25
650	34.9		40.91	2.19
652	34.9		40.94	2.17
654	34.9		40.89	2.23
656	34.9		40.9	2.22
658	34.9		40.9	2.16
660	34.9		40.9	2.19
662	34.9		40.9	2.25
664	34.9		40.91	2.15
666	34.9		40.9	2.21
668	34.9		40.9	2.2
670	34.9		40.9	2.15
672	34.9		40.91	2.24
674	34.9		40.9	2.14
676	34.9		40.9	2.21
678	34.9		40.9	2.16
680	34.9		40.91	2.24
682	34.9		40.9	2.25
684	34.9		40.9	2.24
686	34.9		40.9	2.2
688	34.9		40.9	2.17
690	34.9		40.91	2.19
692	34.9		40.9	2.12
694	34.9		40.91	2.19
696	34.9		40.9	2.19
698	34.9		40.9	2.17
700	34.9		40.92	2.26
702	34.9		40.94	2.16
704	34.9		40.94	2.25
706	34.9		40.94	2.24
708	34.9		40.94	2.27
710	34.9		40.95	2.14
712	34.9		40.95	2.24
714	34.9		40.95	2.15
716	35		40.95	2.24
718	34.9		40.95	2.29
720	35		40.95	2.17
722	34.9		40.95	2.2
724	34.9		40.95	2.24
726	35		40.95	2.25
728	35		40.95	2.26
730	34.9		40.95	2.2
732	34.9		40.95	2.24
734	34.9		40.95	2.22
736	34.9		40.95	2.24
738	34.9		40.95	2.27
740	34.9		40.95	2.21
742	34.9		40.95	2.23
744	34.9		40.95	2.22
746	34.9		40.95	2.21
748	34.9		40.95	2.23
750	34.9		41.06	2.23
752	34.9		41.45	2.26
754	34.9		41.43	2.2
756	34.9		41.44	2.24
758	34.9		41.44	2.25
760	34.9		41.45	2.16
762	34.9		41.44	2.22
764	34.9		41.44	2.26
766	34.9		41.44	2.18
768	35		41.45	2.22
770	35		41.44	2.25
772	34.9		41.44	2.27
774	34.9		41.44	2.21
776	34.9		41.45	2.22
778	34.9		41.44	2.22
780	35		41.44	2.23
782	34.9		41.44	2.29
784	35		41.45	2.21
786	35		41.44	2.23
788	35		41.44	2.24
790	34.9		41.44	2.24
792	35		41.44	2.15
794	35		41.44	2.26
796	34.9		41.44	2.24
798	34.9		41.44	2.14
800	34.9		41.44	2.24
802	34.9		41.94	2.28
804	35		41.94	2.17
