Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
806	34.9		41.94	2.23
808	34.9		41.95	2.17
810	34.9		41.94	2.22
812	34.9		41.95	2.2
814	34.9		41.95	2.15
816	34.9		41.95	2.23
818	35		41.95	2.26
820	34.9		41.94	2.28
822	34.9		41.95	2.13
824	34.9		41.95	2.25
826	34.9		41.95	2.2
828	34.9		41.95	2.18
830	34.9		41.95	2.22
832	34.9		41.95	2.15
834	34.9		41.95	2.23
836	34.9		41.95	2.23
838	34.9		41.95	2.25
840	34.9		41.95	2.27
842	34.9		41.95	2.23
844	34.9		41.95	2.15
846	34.9		41.95	2.24
848	34.9		41.95	2.23
850	34.9		41.95	2.23
852	34.9		42.26	2.29
854	34.9		42.43	2.23
856	34.9		42.44	2.23
858	34.9		42.45	2.25
860	34.9		42.45	2.19
862	34.9		42.45	2.28
864	34.9		42.45	2.27
866	34.9		42.45	2.23
868	35		42.45	2.27
870	35		42.45	2.24
872	35		42.45	2.23
874	35		42.45	2.25
876	35		42.45	2.27
878	35		42.45	2.27
880	35		42.45	2.29
882	35		42.45	2.25
884	35		42.45	2.27
886	35		42.45	2.3
888	35		42.45	2.27
890	35		42.45	2.3
892	35		42.45	2.24
894	35		42.45	2.25
896	35		42.45	2.29
898	35		42.45	2.2
900	35		42.45	2.25
902	35		42.57	2.24
904	35		42.93	2.22
906	35		42.94	2.28
908	35		42.95	2.28
910	35		42.95	2.29
912	35		42.95	2.35
914	35		42.95	2.22
916	35		42.95	2.34
918	35		42.95	2.3
920	35		42.95	2.25
922	35		42.95	2.27
924	35		42.95	2.27
926	35		42.95	2.24
928	35		42.95	2.27
930	35		42.95	2.25
932	35		42.95	2.25
934	34.9		42.95	2.3
936	35		42.95	2.18
938	35		42.95	2.33
940	35		42.95	2.24
942	35		42.95	2.29
944	35		42.95	2.21
946	35		42.95	2.25
948	34.9		42.95	2.24
950	34.9		42.97	2.24
952	35		43.47	2.27
954	35		43.44	2.28
956	35		43.45	2.24
958	34.9		43.45	2.25
960	35		43.45	2.23
962	35		43.45	2.22
964	35		43.45	2.27
966	35		43.45	2.28
968	35		43.46	2.2
970	35		43.45	2.29
972	34.9		43.45	2.31
974	35		43.46	2.22
976	35		43.45	2.28
978	35		43.45	2.27
980	35		43.45	2.21
982	35		43.45	2.23
984	35		43.46	2.3
986	35		43.45	2.3
988	34.9		43.46	2.22
990	35		43.46	2.26
992	35		43.46	2.29
994	35		43.45	2.21
996	35		43.45	2.29
998	35		43.45	2.29
1000	35		43.5	2.32
1002	35		43.97	2.25
1004	35		43.95	2.24
1006	34.9		43.96	2.29
1008	35		43.96	2.17
1010	35		43.96	2.3
1012	35		43.96	2.33
1014	35		43.96	2.32
1016	35		43.96	2.25
1018	35		43.96	2.32
1020	35		43.96	2.32
1022	35		43.96	2.24
1024	35		43.96	2.27
1026	35		43.96	2.3
1028	35		43.96	2.25
1030	35		43.96	2.33
1032	35		43.96	2.33
1034	35		43.96	2.26
1036	34.9		43.96	2.31
1038	35		43.96	2.28
1040	35		43.96	2.25
1042	35		43.96	2.3
1044	35		43.96	2.22
1046	35		43.96	2.28
1048	35		43.96	2.28
1050	35		43.96	2.27
1052	35		44.05	2.36
1054	35		44.45	2.27
1056	35		44.45	2.29
1058	35		44.46	2.34
1060	35		44.46	2.31
1062	35		44.46	2.34
1064	35		44.46	2.37
1066	34.9		44.46	2.27
1068	35		44.46	2.32
1070	35		44.46	2.29
1072	34.9		44.46	2.27
1074	35		44.46	2.27
1076	34.9		44.46	2.25
1078	34.9		44.46	2.27
1080	34.9		44.46	2.25
1082	35		44.46	2.31
1084	35		44.46	2.34
1086	35		44.46	2.32
1088	35		44.46	2.32
1090	34.9		44.46	2.18
1092	35		44.46	2.26
1094	35		44.47	2.21
1096	35		44.46	2.27
1098	34.9		44.46	2.28
1100	34.9		44.46	2.28
1102	34.9		44.97	2.31
1104	34.9		44.96	2.33
1106	35		44.97	2.29
1108	35		44.97	2.28
1110	35		44.97	2.33
1112	35		44.97	2.26
1114	35		44.97	2.34
1116	35		44.97	2.37
1118	35		44.97	2.34
1120	35		44.97	2.28
1122	35		44.97	2.36
1124	35		44.97	2.34
1126	35		44.97	2.26
1128	35		44.97	2.33
1130	35		44.97	2.31
1132	35		44.97	2.31
1134	35		44.98	2.33
1136	35		44.97	2.27
1138	35		44.97	2.31
1140	35		44.97	2.29
1142	35		44.97	2.32
1144	35		44.97	2.28
1146	35		44.97	2.25
1148	35		44.97	2.35
1150	35		44.97	2.3
1152	35		45.17	2.34
1154	35		45.46	2.24
1156	35		45.47	2.35
1158	34.9		45.47	2.25
1160	35		45.47	2.34
1162	35		45.47	2.27
1164	35		45.47	2.29
1166	35		45.47	2.33
1168	35		45.47	2.23
1170	35		45.47	2.31
1172	35		45.47	2.25
1174	35		45.47	2.3
1176	35		45.47	2.27
1178	34.9		45.47	2.27
1180	35		45.47	2.26
1182	35		45.47	2.27
1184	35		45.47	2.35
1186	35		45.47	2.34
1188	35		45.47	2.23
1190	34.9		45.47	2.34
1192	35		45.48	2.22
1194	35		45.47	2.37
1196	35		45.47	2.36
1198	35		45.47	2.35
1200	35		45.73	2.38
1202	35		45.96	2.31
1204	35		45.97	2.36
1206	35		45.97	2.34
1208	35		45.97	2.3
1210	35		45.98	2.35
1212	35		45.97	2.31
1214	35		45.98	2.31
1216	35		45.98	2.33
1218	35		45.97	2.32
1220	35		45.98	2.37
1222	35		45.98	2.31
1224	35		45.98	2.32
1226	35		45.98	2.31
1228	35		45.98	2.22
1230	35		45.98	2.31
1232	35		45.98	2.22
1234	35		45.97	2.3
1236	35		45.98	2.28
1238	35		45.98	2.32
1240	35		45.98	2.36
1242	35		45.98	2.36
1244	35		45.98	2.26
1246	35		45.98	2.35
1248	35		45.98	2.28
1250	35		45.98	2.34
1252	35		46.26	2.4
1254	35		46.46	2.34
1256	35		46.48	2.38
1258	35		46.48	2.31
1260	35		46.48	2.38
1262	35		46.48	2.32
1264	35		46.48	2.37
1266	35		46.48	2.34
1268	35		46.48	2.33
1270	35		46.48	2.4
1272	35		46.48	2.38
1274	35		46.48	2.3
1276	35		46.48	2.36
1278	34.9		46.48	2.34
1280	35		46.48	2.29
1282	35		46.48	2.37
1284	35		46.48	2.35
1286	35		46.48	2.25
1288	35		46.48	2.36
1290	34.9		46.48	2.35
1292	35		46.48	2.26
1294	34.9		46.48	2.36
1296	35		46.49	2.3
1298	35		46.48	2.38
1300	35		46.57	2.38
1302	35		46.99	2.34
1304	35		46.98	2.34
1306	35		46.98	2.33
1308	35		46.98	2.32
1310	34.9		46.99	2.38
1312	35		46.99	2.24
1314	35		46.99	2.38
1316	35		46.99	2.41
1318	35		46.99	2.36
1320	35		46.99	2.39
1322	35		46.99	2.31
1324	35		46.99	2.41
1326	35		46.99	2.37
1328	35		46.99	2.3
1330	35		46.98	2.44
1332	35		46.99	2.32
1334	35		46.99	2.42
1336	35		46.99	2.3
1338	35		46.99	2.36
1340	35		46.99	2.3
1342	35		46.99	2.36
1344	35		46.99	2.34
1346	35		46.99	2.38
1348	35		46.99	2.25
1350	35		46.99	2.39
1352	35		47.36	2.37
1354	35		47.47	2.42
1356	35		47.48	2.35
1358	35		47.48	2.38
1360	35		47.48	2.44
1362	35		47.49	2.37
1364	35		47.49	2.43
1366	35		47.48	2.42
1368	35		47.49	2.34
1370	35		47.49	2.39
1372	35		47.48	2.36
1374	35		47.49	2.37
1376	35		47.49	2.3
1378	34.9		47.49	2.39
1380	35		47.48	2.34
1382	35		47.48	2.41
1384	35		47.48	2.44
1386	35		47.49	2.34
1388	35		47.49	2.4
1390	35		47.48	2.35
1392	35		47.49	2.35
1394	35		47.49	2.35
1396	35		47.48	2.41
1398	35		47.48	2.37
1400	35		47.59	2.36
1402	35		47.99	2.4
1404	35		47.98	2.4
1406	34.9		47.98	2.45
1408	35		47.99	2.29
1410	35		47.99	2.43
1412	35		47.99	2.36
1414	35		47.99	2.36
1416	35		47.99	2.36
1418	35		47.99	2.39
1420	35		47.99	2.43
1422	35		47.99	2.37
1424	35		47.99	2.42
1426	35		47.99	2.35
1428	35		47.99	2.39
1430	35		47.99	2.36
1432	35		47.99	2.4
1434	35		47.99	2.41
1436	35		47.99	2.36
1438	34.9		47.99	2.4
1440	35		47.99	2.35
1442	35		47.99	2.38
1444	35		47.99	2.35
1446	35		47.99	2.38
1448	35		47.99	2.37
1450	35		47.99	2.36
1452	35		48.33	2.46
1454	35		48.46	2.43
1456	35		48.47	2.45
1458	35		48.47	2.52
1460	35		48.48	2.31
1462	35		48.48	2.42
1464	35		48.48	2.41
1466	35		48.48	2.34
1468	35		48.48	2.45
1470	35		48.48	2.34
1472	35		48.48	2.33
1474	35		48.48	2.37
1476	34.9		48.48	2.37
1478	34.9		48.48	2.34
1480	35		48.47	2.41
1482	35		48.48	2.39
1484	35		48.47	2.38
1486	35		48.48	2.37
1488	35		48.48	2.39
1490	35		48.48	2.4
1492	35		48.48	2.36
1494	35		48.48	2.38
1496	35		48.48	2.35
1498	35		48.47	2.45
1500	35		48.48	2.3
1502	35		48.81	2.43
1504	35		48.97	2.32
1506	35		48.98	2.4
1508	35		48.99	2.33
1510	35		48.99	2.42
1512	35		48.99	2.34
1514	35		48.98	2.41
1516	35		48.99	2.36
1518	34.9		48.99	2.4
1520	35		48.99	2.39
1522	35		48.99	2.38
1524	35		48.99	2.38
1526	35		48.98	2.35
1528	35		48.98	2.4
1530	35		48.99	2.36
1532	34.9		48.99	2.38
1534	34.9		48.98	2.33
1536	35		48.99	2.39
1538	35		48.98	2.34
1540	34.9		48.99	2.39
1542	35		48.99	2.32
1544	35		48.99	2.42
1546	34.9		48.99	2.35
1548	35		48.99	2.39
1550	35		48.99	2.36
1552	34.9		49.27	2.45
1554	34.9		49.48	2.35
1556	35		49.48	2.43
1558	35		49.48	2.4
1560	35		49.49	2.39
1562	34.9		49.49	2.34
1564	35		49.49	2.4
1566	35		49.49	2.41
1568	34.9		49.49	2.36
1570	34.9		49.49	2.41
1572	34.9		49.49	2.34
1574	35		49.49	2.34
1576	34.9		49.48	2.42
1578	34.9		49.49	2.23
1580	34.9		49.49	2.43
1582	34.9		49.49	2.35
1584	34.9		49.49	2.39
1586	34.8		49.49	2.35
1588	34.8		49.49	2.26
1590	34.8		49.49	2.34
1592	34.7		49.49	2.28
1594	34.6		49.5	2.2
1596	34.5		49.5	2.2
1598	34.6		49.5	2.22
1600	34.5		49.49	2.25
1602	34.6		49.89	2.23
1604	34.7		49.98	2.28
1606	34.8		49.98	2.41
1608	34.7		49.99	2.44
1610	34.8		49.99	2.2
1612	34.8		49.99	2.43
1614	34.9		49.99	2.24
1616	34.8		49.99	2.46
1618	35		50	2.2
1620	34.8		49.98	2.51
1622	34.9		50	2.22
1624	34.9		49.99	2.5
1626	35		49.99	2.28
1628	35		49.99	2.49
1630	35		49.99	2.38
1632	35		49.99	2.41
1634	35		49.99	2.45
1636	35		49.99	2.38
1638	35.1		49.99	2.42
1640	35.1		49.99	2.48
1642	35.1		49.99	2.46
1644	35.1		49.99	2.42
1646	35.1		49.99	2.42
1648	35.1		49.99	2.44
1650	35.1		49.99	2.46
1652	35.1		50.25	2.41
1654	35.1		50.47	2.44
1656	35.1		50.48	2.45
1658	35.1		50.49	2.38
1660	35.1		50.49	2.44
1662	35.1		50.49	2.47
1664	35.1		50.49	2.42
1666	35.1		50.49	2.45
1668	35.1		50.49	2.51
1670	35.1		50.49	2.44
1672	35.1		50.49	2.47
1674	35.1		50.49	2.45
1676	35.1		50.49	2.45
1678	35.1		50.49	2.45
1680	35.1		50.49	2.42
1682	35.1		50.49	2.44
1684	35.1		50.49	2.46
1686	35.1		50.49	2.42
1688	35.1		50.49	2.45
1690	35.1		50.49	2.45
1692	35		50.49	2.38
1694	35		50.49	2.39
1696	35		50.49	2.39
1698	35		50.49	2.37
1700	34.9		50.49	2.41
1702	35		50.5	2.24
1704	35		50.49	2.51
1706	35		50.49	2.43
1708	35		50.49	2.4
1710	35		50.49	2.39
1712	35		50.5	2.46
1714	35		51.01	2.39
1716	35		50.99	2.38
1718	35		50.99	2.47
1720	35		50.99	2.37
1722	35		51	2.44
1724	35		51	2.43
1726	35		51	2.39
1728	35		51	2.46
1730	35		51	2.4
1732	35		51	2.4
1734	35		51	2.44
1736	35		51	2.41
1738	35		51	2.45
1740	35		51	2.39
1742	35		51	2.45
1744	35		51	2.41
1746	35		51	2.44
1748	35		51	2.47
1750	35		51	2.45
1752	35		51.01	2.45
1754	35		51.51	2.52
1756	35		51.49	2.44
1758	35.1		51.49	2.46
1760	35		51.49	2.5
1762	35		51.49	2.41
1764	35		51.49	2.46
1766	35		51.49	2.53
1768	35		51.49	2.4
1770	35		51.49	2.5
1772	35		51.49	2.42
1774	35		51.49	2.43
1776	35		51.49	2.53
1778	35		51.49	2.44
1780	35		51.49	2.44
1782	35		51.49	2.48
1784	35		51.49	2.5
1786	35		51.49	2.42
1788	35		51.49	2.49
1790	35		51.49	2.45
1792	35		51.49	2.46
1794	35		51.49	2.44
1796	35		51.49	2.48
1798	35		51.49	2.56
1800	35		51.49	2.44
1802	35		51.49	2.46
1804	35		52.01	2.58
1806	35		51.99	2.51
1808	35		52	2.46
1810	35		52	2.52
1812	35		52	2.44
1814	35		52	2.47
1816	35		52	2.53
1818	35		52	2.52
1820	35		52	2.47
1822	35		52.01	2.48
1824	35		52	2.5
1826	35		52	2.48
1828	35		52	2.48
1830	35		52	2.5
1832	35		52	2.5
1834	35		52.01	2.44
1836	35		52.01	2.45
1838	35		52	2.52
1840	35		52	2.53
1842	35		52	2.44
1844	35		52.01	2.46
1846	35		52	2.52
1848	35		52	2.52
1850	35		52	2.53
1852	34.9		52.14	2.46
1854	35		52.49	2.42
1856	35		52.5	2.52
1858	35		52.5	2.53
1860	35		52.5	2.62
1862	35		52.5	2.48
1864	35		52.5	2.48
1866	35		52.5	2.47
1868	35		52.5	2.51
1870	35		52.5	2.55
1872	35		52.5	2.46
1874	35		52.5	2.44
1876	35		52.5	2.5
1878	35		52.51	2.55
1880	35		52.5	2.5
1882	35		52.51	2.42
1884	35		52.5	2.57
1886	35.1		52.5	2.51
1888	35		52.5	2.58
1890	35		52.5	2.46
1892	35		52.5	2.48
1894	35		52.5	2.49
1896	35		52.5	2.52
1898	35.1		52.5	2.51
1900	35		52.5	2.63
1902	35		52.71	3.93
1904	35		52.99	5.27
1906	35		52.99	5.55
1908	35		53.01	5.46
1910	34.9		53	5.59
1912	35		53.01	5.45
1914	35		53	5.64
1916	35		53	5.69
1918	35		53	5.67
1920	35		53	5.62
1922	35		53	5.68
1924	35		53	5.6
1926	35		53	5.6
1928	35		53	5.68
1930	35		53	5.68
1932	35		53	5.63
1934	35		53	5.61
1936	35		53	5.65
1938	35		53	5.59
1940	35		53.01	5.6
1942	35		53	5.66
1944	35		53	5.58
1946	35		53.01	5.67
1948	35		53.01	5.59
1950	35		53.23	9.96
1952	35		53.49	14.36
1954	35		53.5	14.6
1956	35		53.5	14.7
1958	35		53.5	14.75
1960	35		53.5	14.75
1962	35		53.51	14.8
1964	35		53.5	14.87
1966	34.9		53.51	14.68
1968	35		53.51	14.73
1970	35		53.5	14.75
1972	35		53.5	14.81
1974	35		53.5	14.79
1976	35		53.51	14.73
1978	35		53.5	14.83
1980	35		53.5	14.87
1982	35		53.51	14.82
1984	35		53.5	14.75
1986	35		53.5	14.74
1988	35		53.5	14.85
1990	35		53.5	14.78
1992	35.1		53.5	14.68
1994	35.1		53.5	14.85
1996	35		53.5	14.78
1998	35		53.5	14.84
2000	35		53.51	14.73
2002	35		53.89	24.74
2004	35		54	27.5
2006	35		54	27.6
2008	35		54.01	27.83
2010	35.1		54	27.95
2012	35		54	27.98
2014	35		54	27.76
2016	35.1		54.01	27.87
2018	35.1		54	28.08
2020	35		54.01	27.81
2022	35		54.01	27.85
2024	35		54.01	27.92
2026	35		54.01	27.83
2028	35		54.01	27.82
2030	35		54	27.94
2032	35		54	27.87
2034	35		54.01	27.91
2036	35		54.01	27.75
2038	35		54.01	27.86
2040	35		54.01	28.06
2042	35		54.01	27.86
2044	35		54	27.98
2046	35		54.01	27.89
2048	35		54.01	27.79
2050	35		54.14	32.52
2052	35		54.48	43.47
2054	35		54.49	43.74
2056	35		54.49	43.99
2058	35		54.49	43.99
2060	35		54.5	44.06
2062	35		54.5	43.96
2064	35		54.5	44.16
2066	35.1		54.49	43.99
2068	35.1		54.49	44.11
2070	35		54.5	43.91
2072	35		54.5	43.98
2074	35.1		54.5	43.8
2076	35		54.5	44.12
2078	35		54.49	44.06
2080	35		54.5	43.83
2082	35		54.5	44
2084	35		54.5	43.98
2086	35		54.5	43.92
2088	35		54.5	43.77
2090	35		54.5	44.02
2092	35		54.5	44.06
2094	35		54.5	43.84
2096	35		54.5	43.82
2098	35		54.5	43.9
2100	35		54.5	44.1
2102	35		54.5	44.12
2104	35		54.5	44.03
2106	35		54.5	44.1
2108	35		54.58	46.91
2110	35		54.99	62.42
2112	35		55	62.47
2114	35		55	62.77
2116	35		55	63.03
2118	35		55	62.8
2120	35		55	63.08
2122	35		55	62.81
2124	35		55	62.85
2126	35		55	63.26
2128	35		55	63.09
2130	35		55	63.01
2132	35		55	62.95
2134	35		55	63.05
2136	35		55	63.17
2138	35		55	63.16
2140	35		55.01	63.07
2142	35		55.01	62.89
2144	35		55	63.04
2146	35		55.01	62.87
2148	35		55	62.88
2150	35		55	63.02
2152	35		55	63.07
2154	35		55	62.88
2156	35		55.42	81.02
2158	35		55.49	83.71
2160	35		55.5	83.81
2162	35		55.5	84.33
2164	35		55.5	83.86
2166	35		55.5	84.2
2168	35		55.5	84.52
2170	35		55.5	84.26
2172	35		55.5	84.02
2174	35		55.5	84.21
2176	35		55.5	84.03
2178	35		55.5	84.13
2180	35		55.5	84.3
2182	35		55.5	83.97
2184	35		55.5	84.43
2186	35		55.5	84.21
2188	35		55.5	84.32
2190	35		55.5	84.13
2192	35		55.5	84.27
2194	35		55.5	84.44
2196	35		55.5	84.17
2198	35		55.5	84.45
2200	35		55.5	84.23
2202	35		55.5	84.02
2204	35		56	108.04
2206	35		56	107.94
2208	35		56	107.84
2210	35		56.01	108.04
2212	35		56	108.19
2214	35		56	108.34
2216	34.9		56.01	108.24
2218	35		56.01	108.32
2220	35		56.01	108.11
2222	35		56	108.24
2224	35		56	108.35
2226	35		56.01	108.17
2228	35		56	108.14
2230	35		56	108.53
2232	35		56.01	108.11
2234	35		56.01	108.34
2236	35		56	108.64
2238	35		56	108.06
2240	35		56	108.37
2242	35		56	108.54
2244	35		56	108.46
2246	35		56	108.25
2248	35		56.01	108.69
2250	35		56.17	116.74
2252	35		56.51	134.84
2254	35		56.51	134.9
2256	35		56.51	135.14
2258	35		56.51	135.06
2260	35		56.51	135.06
2262	35		56.52	135.4
2264	35		56.51	134.92
2266	35		56.51	135.33
2268	35		56.51	134.71
2270	35		56.52	135.22
2272	35		56.51	135.55
2274	35		56.51	135.32
2276	35		56.51	134.91
2278	35		56.51	135.27
2280	35		56.51	135.31
2282	35		56.51	135.24
2284	35		56.51	134.81
2286	35		56.52	135.3
2288	35		56.51	134.95
2290	35		56.51	135.29
2292	35		56.52	135.18
2294	35		56.51	135.27
2296	35		56.51	135.5
2298	34.9		56.52	135.11
2300	35		56.52	135.39
2302	35		57.03	165.76
2304	35		57.02	164.74
2306	35		57.02	164.77
2308	35		57.02	164.88
2310	35		57.03	164.74
2312	35		57.02	165.33
2314	34.9		57.02	165.22
2316	35		57.02	164.32
2318	35		57.02	164.97
2320	34.9		57.02	164.95
2322	35		57.02	165.39
2324	34.9		57.02	165.1
2326	35		57.03	165.1
2328	34.9		57.02	164.89
2330	35		57.02	164.99
2332	34.9		57.02	164.67
2334	35		57.02	164.81
2336	35		57.02	165.51
2338	35		57.03	165.09
2340	35		57.02	165.16
2342	35		57.02	164.91
2344	35		57.02	164.76
2346	35		57.02	165.18
2348	35		57.02	164.92
2350	35		57.22	178.16
2352	35		57.51	197.44
2354	35		57.52	197.94
2356	35		57.52	197.79
2358	35		57.52	198.17
2360	35		57.52	198.39
2362	35		57.52	198.22
2364	35		57.52	198.39
2366	35		57.53	198.13
2368	35		57.52	198.47
2370	35		57.52	198.5
2372	35		57.52	198.31
2374	35		57.53	197.84
2376	35		57.52	198.37
2378	35		57.53	198.05
2380	35		57.53	198.35
2382	35		57.53	198.41
2384	35		57.52	198.56
2386	35		57.52	198.35
2388	35		57.52	198.05
2390	35		57.53	198.34
2392	35		57.53	197.76
2394	35		57.52	198.14
2396	35		57.52	198.4
2398	35		57.52	198.29
2400	35		57.52	197.86
2402	35		57.99	231.04
2404	35		58.02	233.83
2406	35		58.03	233.5
2408	35		58.03	233.61
2410	35		58.03	233.79
2412	35		58.03	234.47
2414	35		58.03	233.89
2416	35		58.03	234
2418	35		58.03	233.81
2420	35		58.03	234.22
2422	35		58.03	234.54
2424	35		58.03	234.18
2426	35		58.03	234.8
2428	35		58.03	234.05
2430	35		58.03	234.21
2432	35		58.03	234.12
2434	35		58.03	234.36
2436	35		58.03	234.5
2438	35		58.03	233.87
2440	35		58.03	234.72
2442	35		58.03	234.62
2444	35		58.03	234.3
2446	35		58.03	234.82
2448	35		58.03	233.96
2450	35		58.03	234.27
2452	35		58.32	256.61
2454	35		58.52	271.61
2456	35		58.53	272.71
2458	35		58.54	272.71
2460	35		58.54	272.54
2462	35		58.54	272.53
2464	35		58.54	272.6
2466	35		58.54	272.83
2468	35		58.54	272.32
2470	35		58.54	272.25
2472	35		58.54	272.15
2474	35		58.54	272.33
2476	35		58.54	272.62
2478	35		58.54	272.43
2480	35		58.54	272.78
2482	35		58.54	272.96
2484	35		58.54	272.72
2486	35		58.54	272.93
2488	35		58.54	272.86
2490	35		58.54	272.53
2492	35		58.54	272.45
2494	35		58.54	271.7
2496	35		58.54	272.73
2498	35		58.54	272.52
2500	35		58.54	272.96
2502	35		58.81	295.31
2504	35		59.02	312.68
2506	35		59.03	313.59
2508	35		59.03	314.73
2510	35		59.03	314.31
2512	35		59.03	314.18
2514	35		59.03	314.03
2516	35		59.03	314.52
2518	35		59.03	314.29
2520	35		59.03	313.77
2522	35		59.03	314.93
2524	35		59.03	314.36
2526	35		59.03	314.25
2528	35		59.03	314.18
2530	35		59.03	314.66
2532	35		59.03	315.07
2534	35		59.03	314.84
2536	35		59.03	314.58
2538	35		59.03	314.41
2540	35		59.03	314.32
2542	35		59.03	314.65
2544	35		59.03	314.44
2546	35		59.03	315.48
2548	35		59.03	314.58
2550	35		59.08	318.03
2552	35		59.53	355.19
2554	35		59.52	354.05
2556	35		59.52	354.89
2558	35		59.53	355.56
2560	35		59.53	355.64
2562	35		59.53	354.88
2564	35		59.53	355.08
2566	35		59.53	355.77
2568	35		59.52	355.61
2570	35		59.53	355.84
2572	35.1		59.53	355.32
2574	35		59.52	355.09
2576	35.1		59.53	355.98
2578	35		59.53	355.43
2580	35		59.53	356.12
2582	35		59.53	355.55
2584	35		59.53	354.66
2586	35		59.53	355.11
2588	35		59.53	355.09
2590	35		59.53	354.88
2592	35		59.53	355.26
2594	35		59.53	355.1
2596	35		59.53	355.28
2598	35		59.53	355.32
2600	35		59.73	369.93
2602	35		60.01	392.69
2604	35		60.01	392.5
2606	35		60.02	392.85
2608	35		60.02	393.47
2610	35		60.02	392.93
2612	35		60.02	393.34
2614	35		60.02	392.67
2616	35		60.02	393.23
2618	35		60.02	392.72
2620	35		60.02	393.05
2622	35		60.02	393.16
2624	35		60.02	392.97
2626	35		60.02	393.16
2628	35		60.02	392.63
2630	35		60.02	392.59
2632	35		60.02	392.99
2634	35		60.02	393.13
2636	35		60.02	393.32
2638	35		60.02	393.67
2640	35		60.02	392.91
2642	35		60.02	393.5
2644	35		60.02	393.35
2646	35		60.02	392.99
2648	35		60.02	393.36
2650	35		60.02	393.31
