Tiempo (s)	Temperatura (°C)	Voltaje HV (V) Sin correccion	Voltaje HV (V)	Corriente (nA)
1000	9.9	40.98	40.88	3.3
1002	9.9	40.98	40.88	3.32
1004	10	40.98	40.88	3.3
1006	9.9	40.99	40.89	3.5
1008	9.9	40.98	40.88	3.4
1010	9.9	40.98	40.88	3.28
1012	9.9	40.98	40.88	3.34
1014	9.9	40.98	40.88	3.22
1016	9.9	40.98	40.88	3.37
1018	9.9	40.98	40.88	3.4
1020	9.9	40.98	40.88	3.33
1022	9.8	40.98	40.88	3.28
1024	9.8	40.98	40.88	3.29
1026	9.9	40.97	40.87	3.21
1028	9.9	40.99	40.89	3.42
1030	9.9	40.98	40.88	3.34
1032	10	40.98	40.88	3.34
1034	10	40.99	40.89	3.54
1036	9.9	40.99	40.89	3.51
1038	9.9	40.98	40.88	3.32
1040	10	40.98	40.88	3.4
1042	10	40.99	40.89	3.5
1044	9.9	40.98	40.88	3.32
1046	9.8	40.98	40.88	3.25
1048	10	40.97	40.87	3.22
1050	10	41	40.9	3.53
1052	10	40.99	40.89	3.48
1054	9.9	40.98	40.88	3.45
1056	10	40.97	40.87	3.17
1058	10	40.98	40.88	3.27
1060	9.9	40.99	40.89	3.39
1062	10	40.98	40.88	3.26
1064	10	40.99	40.89	3.39
1066	9.9	40.98	40.88	3.25
1068	9.9	40.98	40.88	3.29
1070	10	40.98	40.88	3.25
1072	10	40.99	40.89	3.4
1074	10	40.98	40.88	3.37
1076	10	40.99	40.89	3.42
1078	10	40.98	40.88	3.33
1080	10	40.99	40.89	3.34
1082	9.9	40.99	40.89	3.46
1084	10	40.97	40.87	3.22
1086	10	40.99	40.89	3.41
1088	10	40.98	40.88	3.35
1090	10	40.98	40.88	3.32
1092	10	40.99	40.89	3.34
1094	10	40.98	40.88	3.21
1096	10	40.98	40.88	3.29
1098	10	40.98	40.88	3.29
1100	10	41.05	40.95	3.48
1102	9.9	41	40.9	3.31
1104	10	41.01	40.91	3.27
1106	9.9	41.02	40.92	3.42
1108	10	41.02	40.92	3.28
1110	10	41.03	40.93	3.29
1112	10	41.03	40.93	3.21
1114	10	41.03	40.93	3.44
1116	10	41.03	40.93	3.4
1118	10	41.02	40.92	3.18
1120	10.1	41.03	40.93	3.33
1122	10	41.03	40.93	3.47
1124	10	41.02	40.92	3.29
1126	10	41.03	40.93	3.36
1128	9.9	41.03	40.93	3.33
1130	9.9	41.02	40.92	3.25
1132	9.9	41.02	40.92	3.22
1134	9.9	41.03	40.93	3.36
1136	10	41.02	40.92	3.41
1138	10	41.02	40.92	3.4
1140	10	41.03	40.93	3.42
1142	10	41.03	40.93	3.42
1144	10	41.02	40.92	3.33
1146	10	41.03	40.93	3.4
1148	9.9	41.02	40.92	3.32
1150	10	41.15	41.05	3.33
1152	10	41.5	41.4	3.41
1154	10	41.52	41.42	3.38
1156	10	41.52	41.42	3.23
1158	10	41.53	41.43	3.4
1160	9.9	41.52	41.42	3.3
1162	10	41.52	41.42	3.27
1164	10	41.54	41.44	3.51
1166	10	41.52	41.42	3.27
1168	10	41.53	41.43	3.4
1170	10.1	41.52	41.42	3.36
1172	10	41.54	41.44	3.61
1174	10	41.52	41.42	3.33
1176	10	41.52	41.42	3.37
1178	10	41.53	41.43	3.44
1180	10	41.53	41.43	3.36
1182	9.9	41.52	41.42	3.29
1184	10	41.52	41.42	3.27
1186	10	41.53	41.43	3.4
1188	10	41.53	41.43	3.36
1190	10	41.52	41.42	3.27
1192	10	41.53	41.43	3.4
1194	10	41.52	41.42	3.31
1196	10	41.53	41.43	3.32
1198	9.9	41.53	41.43	3.42
1200	10	41.83	41.73	3.17
1202	10	42.01	41.91	3.36
1204	10	42.04	41.94	3.48
1206	10	42.03	41.93	3.31
1208	10	42.02	41.92	3.36
1210	10	42.03	41.93	3.45
1212	10	42.03	41.93	3.4
1214	10	42.03	41.93	3.27
1216	10	42.03	41.93	3.38
1218	10	42.03	41.93	3.27
1220	10	42.03	41.93	3.34
1222	10	42.03	41.93	3.34
1224	10	42.03	41.93	3.34
1226	10	42.04	41.94	3.32
1228	10	42.03	41.93	3.32
1230	10	42.03	41.93	3.32
1232	10	42.03	41.93	3.31
1234	10	42.03	41.93	3.4
1236	10	42.03	41.93	3.25
1238	10	42.03	41.93	3.42
1240	10	42.03	41.93	3.28
1242	10	42.03	41.93	3.3
1244	10	42.03	41.93	3.32
1246	10	42.03	41.93	3.35
1248	9.9	42.03	41.93	3.4
1250	9.9	42.3	42.2	3.27
1252	10	42.51	42.41	3.36
1254	9.9	42.53	42.43	3.38
1256	10	42.52	42.42	3.28
1258	10	42.54	42.44	3.44
1260	10	42.53	42.43	3.45
1262	10	42.53	42.43	3.42
1264	10	42.53	42.43	3.29
1266	10	42.53	42.43	3.35
1268	10	42.53	42.43	3.37
1270	10	42.53	42.43	3.37
1272	10	42.54	42.44	3.4
1274	10	42.53	42.43	3.3
1276	10	42.54	42.44	3.37
1278	10	42.54	42.44	3.41
1280	10.1	42.54	42.44	3.3
1282	10	42.54	42.44	3.42
1284	10	42.53	42.43	3.25
1286	10	42.53	42.43	3.35
1288	10	42.53	42.43	3.43
1290	10	42.53	42.43	3.37
1292	10	42.53	42.43	3.43
1294	10	42.53	42.43	3.45
1296	10	42.53	42.43	3.36
1298	10	42.54	42.44	3.47
1300	10	42.64	42.54	3.46
1302	10	43.02	42.92	3.42
1304	10	43.03	42.93	3.48
1306	10	43.03	42.93	3.47
1308	10	43.03	42.93	3.34
1310	10	43.04	42.94	3.38
1312	10	43.03	42.93	3.32
1314	10	43.04	42.94	3.34
1316	10	43.04	42.94	3.39
1318	9.9	43.03	42.93	3.25
1320	9.9	43.03	42.93	3.31
1322	10	43.03	42.93	3.31
1324	10	43.04	42.94	3.49
1326	10	43.04	42.94	3.46
1328	10	43.03	42.93	3.33
1330	10	43.04	42.94	3.44
1332	9.9	43.04	42.94	3.44
1334	10	43.02	42.92	3.26
1336	10	43.04	42.94	3.52
1338	10.1	43.03	42.93	3.33
1340	10	43.04	42.94	3.5
1342	10	43.03	42.93	3.38
1344	10	43.03	42.93	3.24
1346	10	43.04	42.94	3.42
1348	10	43.04	42.94	3.4
1350	10	43.04	42.94	3.29
1352	10	43.16	43.06	3.3
1354	10	43.53	43.43	3.37
1356	10	43.53	43.43	3.38
1358	10	43.54	43.44	3.37
1360	10.1	43.55	43.45	3.51
1362	10.1	43.55	43.45	3.5
1364	10	43.54	43.44	3.36
1366	10	43.55	43.45	3.37
1368	10	43.55	43.45	3.32
1370	10	43.55	43.45	3.41
1372	10	43.54	43.44	3.31
1374	10	43.54	43.44	3.2
1376	10	43.55	43.45	3.46
1378	10.1	43.55	43.45	3.31
1380	10	43.55	43.45	3.47
1382	10	43.54	43.44	3.27
1384	10.1	43.55	43.45	3.43
1386	10.1	43.55	43.45	3.38
1388	10	43.55	43.45	3.39
1390	10	43.55	43.45	3.31
1392	10	43.54	43.44	3.34
1394	10	43.55	43.45	3.37
1396	10	43.54	43.44	3.35
1398	10	43.54	43.44	3.31
1400	10.1	43.72	43.62	3.41
1402	10	44.03	43.93	3.48
1404	10	44.04	43.94	3.42
1406	10	44.04	43.94	3.35
1408	10.1	44.05	43.95	3.36
1410	10.1	44.05	43.95	3.49
1412	10.1	44.04	43.94	3.37
1414	10	44.04	43.94	3.38
1416	10	44.05	43.95	3.41
1418	10	44.05	43.95	3.48
1420	10	44.05	43.95	3.41
1422	10	44.05	43.95	3.4
1424	10	44.05	43.95	3.38
1426	10	44.04	43.94	3.24
1428	10	44.05	43.95	3.36
1430	10.1	44.04	43.94	3.39
1432	10.1	44.05	43.95	3.43
1434	10	44.05	43.95	3.52
1436	10.1	44.04	43.94	3.31
1438	10.1	44.05	43.95	3.57
1440	10.1	44.05	43.95	3.46
1442	10.1	44.05	43.95	3.5
1444	10.1	44.05	43.95	3.48
1446	10	44.05	43.95	3.37
1448	10.1	44.05	43.95	3.39
1450	10.1	44.05	43.95	3.5
1452	10	44.53	44.43	3.46
1454	10	44.54	44.44	3.45
1456	10	44.54	44.44	3.34
1458	10	44.56	44.46	3.55
1460	10	44.55	44.45	3.36
1462	10.1	44.56	44.46	3.41
1464	10	44.56	44.46	3.52
1466	10	44.55	44.45	3.37
1468	10	44.56	44.46	3.43
1470	10	44.56	44.46	3.45
1472	10	44.55	44.45	3.3
1474	10	44.56	44.46	3.5
1476	10	44.56	44.46	3.4
1478	10	44.56	44.46	3.37
1480	10	44.56	44.46	3.43
1482	10	44.55	44.45	3.25
1484	10	44.56	44.46	3.41
1486	10	44.56	44.46	3.37
1488	10	44.55	44.45	3.22
1490	10.1	44.56	44.46	3.51
1492	10	44.56	44.46	3.41
1494	9.9	44.56	44.46	3.4
1496	9.9	44.55	44.45	3.21
1498	10	44.56	44.46	3.21
1500	10.1	44.6	44.5	3.5
1502	10	45.07	44.97	3.4
1504	10.1	45.05	44.95	3.37
1506	10.1	45.06	44.96	3.49
1508	10.1	45.06	44.96	3.45
1510	10.1	45.06	44.96	3.42
1512	10.1	45.07	44.97	3.45
1514	10	45.06	44.96	3.37
1516	10.1	45.06	44.96	3.44
1518	10.1	45.07	44.97	3.51
1520	10.1	45.06	44.96	3.4
