Tiempo (s)	Temperatura (°C)	Voltaje HV (V)	Voltaje HV (V)	Corriente (nA)			
2366	5.1	54.22	54.02	9.1			
2368	5.1	54.23	54.03	9.02			
2370	5.1	54.23	54.03	9.05			
2372	5.1	54.23	54.03	9.1			
2374	5.1	54.23	54.03	8.98			
2376	5.1	54.22	54.02	9.21			
2378	5	54.23	54.03	9.09			
2380	5.1	54.23	54.03	9.11			
2382	5	54.22	54.02	9.23			
2384	5.1	54.23	54.03	9.05			
2386	5	54.22	54.02	9.18			
2388	5.1	54.23	54.03	9.06			
2390	5.1	54.22	54.02	9.22			
2392	5.1	54.23	54.03	9.13			
2394	5.1	54.23	54.03	9.13			
2396	5.1	54.23	54.03	9.17			
2398	5	54.23	54.03	9.16			
2400	5.1	54.52	54.32	10.09			
2402	5.1	54.71	54.51	10.68			
2404	5.1	54.72	54.52	10.68			
2406	5.1	54.72	54.52	10.64			
2408	5.1	54.72	54.52	10.75			
2410	5	54.73	54.53	10.64			
2412	5.1	54.72	54.52	10.76			
2414	5.1	54.72	54.52	10.78			
2416	5.1	54.73	54.53	10.73			
2418	5	54.73	54.53	10.77			
2420	5.1	54.72	54.52	10.79			
2422	5.1	54.72	54.52	10.72			
2424	5	54.73	54.53	10.63			
2426	5.1	54.73	54.53	10.68			
2428	5.1	54.72	54.52	10.77			
2430	5	54.73	54.53	10.67			
2432	5	54.73	54.53	10.78			
2434	5.1	54.72	54.52	10.76			
2436	5.1	54.73	54.53	10.75			
2438	5.1	54.73	54.53	10.73			
2440	5	54.72	54.52	10.73			
2442	5.1	54.73	54.53	10.63			
2444	5	54.72	54.52	10.86			
2446	5	54.73	54.53	10.72			
2448	4.9	54.72	54.52	10.81			
2450	4.9	54.91	54.71	11.64			
2452	5.1	55.2	55	12.69			
2454	5.1	55.22	55.02	12.78			
2456	5.1	55.24	55.04	12.56			
2458	5.1	55.24	55.04	12.49			
2460	5.1	55.22	55.02	12.66			
2462	5.1	55.24	55.04	12.48			
2464	5.1	55.24	55.04	12.51			
2466	5.1	55.23	55.03	12.67			
2468	5.2	55.24	55.04	12.62			
2470	5.1	55.24	55.04	12.55			
2472	5.1	55.24	55.04	12.54			
2474	5.1	55.23	55.03	12.68			
2476	5	55.23	55.03	12.68			
2478	5.1	55.23	55.03	12.63			
2480	5.1	55.23	55.03	12.73			
2482	5.1	55.25	55.05	12.47			
2484	5.1	55.24	55.04	12.58			
2486	5.1	55.23	55.03	12.64			
2488	5.2	55.24	55.04	12.58			
2490	5.1	55.24	55.04	12.58			
2492	5.1	55.25	55.05	12.58			
2494	5.1	55.23	55.03	12.63			
2496	5.1	55.24	55.04	12.7			
2498	5.1	55.24	55.04	12.7			
2500	5.2	55.41	55.21	13.26			
2502	5.1	55.71	55.51	14.77			
2504	5.1	55.73	55.53	14.64			
2506	5	55.73	55.53	14.74			
2508	5.1	55.73	55.53	14.91			
2510	5.1	55.73	55.53	14.96			
2512	5	55.73	55.53	14.85			
2514	5.1	55.74	55.54	14.78			
2516	5	55.72	55.52	14.89			
2518	5.1	55.74	55.54	14.8			
2520	5	55.73	55.53	14.99			
2522	5.1	55.73	55.53	14.76			
2524	5	55.73	55.53	14.87			
2526	5	55.73	55.53	14.84			
2528	5	55.73	55.53	14.93			
2530	5	55.73	55.53	14.87			
2532	5	55.72	55.52	15.01			
2534	5	55.73	55.53	14.77			
2536	5	55.73	55.53	15			
2538	5	55.74	55.54	14.85			
2540	5.1	55.72	55.52	15.11			
2542	5.1	55.73	55.53	15.04			
2544	5	55.74	55.54	14.86			
2546	5	55.73	55.53	14.92			
2548	5	55.73	55.53	15.16			
2550	5	55.89	55.69	15.88			
2552	5.1	56.23	56.03	17.47			
2554	5	56.24	56.04	17.63			
2556	5	56.24	56.04	17.52			
2558	5	56.24	56.04	17.65			
2560	5	56.24	56.04	17.53			
2562	5	56.24	56.04	17.64			
2564	5	56.24	56.04	17.48			
2566	5	56.23	56.03	17.51			
2568	5	56.24	56.04	17.58			
2570	5.1	56.24	56.04	17.53			
2572	5	56.23	56.03	17.5			
2574	5	56.25	56.05	17.46			
2576	5	56.23	56.03	17.62			
2578	5	56.24	56.04	17.49			
2580	5	56.24	56.04	17.64			
2582	5	56.25	56.05	17.58			
2584	5	56.24	56.04	17.71			
2586	4.9	56.24	56.04	17.63			
2588	5	56.24	56.04	17.62			
2590	4.9	56.23	56.03	17.61			
2592	4.9	56.24	56.04	17.59			
2594	4.8	56.24	56.04	17.58			
2596	4.8	56.24	56.04	17.87			
2598	4.7	56.23	56.03	17.62			
2600	5	56.23	56.03	17.76			
2602	5	56.52	56.32	19.48			
2604	5.1	56.75	56.55	20.37			
2606	5	56.74	56.54	20.75			
2608	5	56.75	56.55	20.48			
2610	4.9	56.74	56.54	20.72			
2612	4.8	56.74	56.54	20.77			
2614	4.9	56.74	56.54	20.82			
2616	4.9	56.73	56.53	20.73			
2618	4.9	56.75	56.55	20.68			
2620	4.9	56.74	56.54	20.55			
2622	5	56.75	56.55	20.74			
2624	5	56.74	56.54	20.94			
2626	4.9	56.75	56.55	20.68			
2628	4.9	56.74	56.54	20.87			
2630	4.8	56.74	56.54	20.84			
2632	4.9	56.75	56.55	20.74			
2634	4.9	56.73	56.53	21.05			
2636	4.9	56.75	56.55	20.78			
2638	4.9	56.74	56.54	20.58			
2640	5	56.75	56.55	20.85			
2642	5.1	56.75	56.55	20.8			
2644	4.9	56.75	56.55	20.9			
2646	5.1	56.76	56.56	20.72			
2648	5.2	56.73	56.53	20.85			
2650	5.1	56.94	56.74	22.1			
2652	5.2	57.25	57.05	24.34			
2654	5.1	57.25	57.05	24.38			
2656	5.1	57.25	57.05	24.51			
2658	5.1	57.25	57.05	24.55			
2660	5.2	57.25	57.05	24.42			
2662	5.1	57.25	57.05	24.48			
2664	5.2	57.26	57.06	24.42			
2666	5.1	57.25	57.05	24.55			
2668	5.2	57.26	57.06	24.49			
2670	5.2	57.25	57.05	24.39			
2672	5.1	57.25	57.05	24.32			
2674	5.2	57.26	57.06	24.33			
2676	5.2	57.25	57.05	24.41			
2678	5.1	57.26	57.06	24.51			
2680	5.1	57.27	57.07	24.44			
2682	5.1	57.25	57.05	24.66			
2684	5.1	57.25	57.05	24.44			
2686	5.1	57.26	57.06	24.43			
2688	5.1	57.25	57.05	24.57			
2690	5.1	57.25	57.05	24.52			
2692	5.1	57.26	57.06	24.29			
2694	5.1	57.25	57.05	24.7			
2696	5	57.25	57.05	24.44			
2698	5	57.26	57.06	24.43			
2700	5	57.25	57.05	24.55			
2702	5	57.33	57.13	25.4			
2704	5	57.76	57.56	28.74			
2706	4.9	57.74	57.54	28.58			
2708	5	57.75	57.55	28.7			
2710	4.9	57.75	57.55	28.81			
2712	5	57.76	57.56	28.69			
2714	5	57.75	57.55	28.83			
2716	4.9	57.77	57.57	29.01			
2718	5	57.75	57.55	28.94			
2720	5	57.75	57.55	28.76			
2722	5.1	57.76	57.56	28.88			
2724	5.1	57.76	57.56	28.45			
2726	5	57.77	57.57	28.55			
2728	5.1	57.75	57.55	28.91			
2730	5.1	57.75	57.55	28.95			
2732	5	57.77	57.57	28.84			
2734	4.9	57.75	57.55	29.02			
2736	5.1	57.75	57.55	28.74			
2738	5	57.74	57.54	29.21			
2740	4.9	57.77	57.57	28.86			
2742	4.9	57.75	57.55	28.71			
2744	4.8	57.75	57.55	29.08			
2746	4.9	57.75	57.55	28.89			
2748	5	57.74	57.54	29.22			
2750	5	57.75	57.55	28.88			
2752	5.1	57.76	57.56	28.93			
2754	5	58.24	58.04	34.36			
2756	5	58.26	58.06	34.2			
2758	5.1	58.24	58.04	34.04			
2760	5.1	58.26	58.06	33.74			
2762	5	58.27	58.07	33.97			
2764	5	58.26	58.06	34.1			
2766	5.1	58.25	58.05	33.89			
2768	5.1	58.26	58.06	34.12			
2770	5.1	58.27	58.07	33.7			
2772	5	58.25	58.05	34.09			
2774	5.2	58.26	58.06	34.25			
2776	5.1	58.25	58.05	34.26			
2778	5.1	58.27	58.07	34.17			
2780	5.1	58.26	58.06	34.19			
2782	5.1	58.26	58.06	33.86			
2784	5.1	58.26	58.06	34.17			
2786	5.1	58.26	58.06	34.05			
2788	5	58.26	58.06	34.34			
2790	5.1	58.26	58.06	34			
2792	5.1	58.25	58.05	34.25			
2794	5.1	58.27	58.07	34.4			
2796	5.1	58.26	58.06	34.21			
2798	5.2	58.26	58.06	34.32			
2800	5.1	58.31	58.11	35.02			
2802	5.1	58.77	58.57	40.17			
2804	5.1	58.74	58.54	40.29			
2806	5.1	58.75	58.55	40.81			
2808	5.1	58.76	58.56	40.25			
2810	5.1	58.75	58.55	40.87			
2812	5.1	58.76	58.56	40.71			
2814	5.1	58.76	58.56	40.64			
2816	5.1	58.76	58.56	40.38			
2818	5	58.76	58.56	40.39			
2820	5.2	58.75	58.55	40.66			
2822	5.1	58.76	58.56	40.36			
2824	5.1	58.77	58.57	40.55			
2826	5.1	58.75	58.55	40.55			
2828	5.1	58.76	58.56	40.88			
2830	5.1	58.76	58.56	40.85			
2832	5	58.76	58.56	40.59			
2834	5.1	58.76	58.56	40.26			
2836	5.1	58.75	58.55	40.61			
2838	5.1	58.76	58.56	40.63			
2840	5.1	58.76	58.56	40.45			
2842	5.1	58.76	58.56	40.71			
2844	5.1	58.76	58.56	40.29			
2846	5.1	58.76	58.56	40.54			
2848	5	58.76	58.56	40.68			
2850	5.1	58.77	58.57	40.98			
2852	5.1	59.26	59.06	48.44			
2854	5.1	59.27	59.07	48.09			
2856	5.1	59.26	59.06	48.08			
2858	5	59.26	59.06	48.2			
2860	5.1	59.26	59.06	48.34			
2862	5.1	59.26	59.06	48.11			
2864	5	59.27	59.07	47.95			
2866	5	59.26	59.06	48.14			
2868	5	59.26	59.06	48.1			
2870	5	59.26	59.06	48.27			
2872	5	59.26	59.06	48.34			
2874	5.1	59.27	59.07	48.51			
2876	5	59.26	59.06	47.86			
2878	5	59.27	59.07	48.39			
2880	5.1	59.26	59.06	49.02			
2882	5	59.26	59.06	48.75			
2884	5.1	59.26	59.06	48.43			
2886	5	59.26	59.06	47.96			
2888	5.1	59.27	59.07	48.34			
2890	5	59.25	59.05	48.4			
2892	5.1	59.28	59.08	48.21			
2894	5	59.26	59.06	48.38			
2896	5.1	59.27	59.07	48.3			
2898	5	59.26	59.06	48.33			
2900	5.1	59.29	59.09	48.88			
2902	5.1	59.77	59.57	57.75			
2904	5.1	59.77	59.57	57.37			
2906	5	59.77	59.57	58.03			
2908	5.1	59.77	59.57	57.51			
2910	5.1	59.77	59.57	57.53			
2912	5	59.78	59.58	57.59			
2914	5	59.77	59.57	58.06			
2916	5	59.76	59.56	57.87			
2918	5	59.77	59.57	57.81			
2920	5	59.77	59.57	58.39			
2922	5	59.77	59.57	57.94			
2924	5	59.77	59.57	57.38			
2926	5.1	59.77	59.57	57.66			
2928	5	59.77	59.57	57.37			
2930	5	59.78	59.58	57.51			
2932	5	59.76	59.56	58.15			
2934	5	59.77	59.57	58.06			
2936	5.1	59.77	59.57	58.03			
2938	5	59.76	59.56	58.22			
2940	5.1	59.78	59.58	57.7			
2942	5	59.76	59.56	58.35			
2944	5.1	59.78	59.58	57.7			
2946	5	59.77	59.57	57.97			
2948	5.1	59.78	59.58	57.46			
2950	5	59.77	59.57	57.6			
2952	5	60.23	60.03	68.71			
2954	5.1	60.26	60.06	68.91			
2956	5	60.26	60.06	68.46			
2958	4.9	60.27	60.07	69.79			
2960	5	60.26	60.06	69.38			
2962	5	60.27	60.07	69.82			
2964	5.1	60.27	60.07	68.78			
2966	5	60.28	60.08	69.25			
2968	5	60.28	60.08	69.85			
2970	5	60.27	60.07	69.03			
2972	5	60.27	60.07	68.79			
2974	5	60.27	60.07	69.4			
2976	5	60.27	60.07	70.01			
2978	5	60.27	60.07	69.43			
2980	5.1	60.27	60.07	70.04			
2982	5.1	60.27	60.07	69.61			
2984	5	60.28	60.08	69.85			
2986	5	60.27	60.07	69.36			
2988	4.9	60.27	60.07	69.6			
2990	4.9	60.28	60.08	69.58			
2992	5.1	60.26	60.06	68.89			
2994	5.1	60.27	60.07	69.59			
2996	5.1	60.29	60.09	69.43			
2998	5.1	60.27	60.07	69.71			
3000	5.1	60.28	60.08	69.55			
